entry.id,jurisdiction,intervention.category,intervention.type,primary.source.news.release.or.specific.resource,secondary.source,action,level,indigenous.population.group,date.announced,date.implemented,intervention.who,intervention.what,effective.until
MB050,Man.,Closures,Closures — daycares,https://news.gov.mb.ca/news/index.html?item=47377&posted=2020-04-02,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-02,2020-04-14,Government of Manitoba,"Parents who work in critical services, as defined by the chief provincial public health officer, will be able to access child care spaces available in licensed facilities. This includes support staff at hospitals and clinics, grocery store staff, farmers and farm workers, construction workers, bank or credit union employees.",
MB052,Man.,State of emergency,State of emergency,https://www.gov.mb.ca/asset_library/en/proactive/2020_2021/soe_04202020.pdf,https://www.gov.mb.ca/covid19/soe.html,To be completed,Provincial/territorial,FALSE,2020-04-18,2020-04-18,Government of Manitoba,Extended the provincial state of emergency,
MB053,Man.,Case management,Case management — test criteria,https://sharedhealthmb.ca/files/covid-19-testing-in-acute-care-memo.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-19,2020-04-19,"Chief Provincial Public Health Officer, Provincial Lead Health System Integration and Quality, Chief Nursing Officer Shared Health","Requested all acute care centres to test all emergency/urgent care visits that present with influenza-like illness. In addition, based on clinical judgement, providers in these settings may test additional patients whose constellation of symptoms is suggestive of COVID-19.",
MB054,Man.,Closures,Closures — health services,https://secureservercdn.net/166.62.109.86/c60.8f4.myftpupload.com/wp-content/uploads/2020/03/CASLPM-Coronavirus-COVID-19-Bulletin-2-1.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-18,2020-03-18,College of Audiologists and Speech–Language Pathologists of Manitoba,Strongly recommended suspension of all non-essential/non-emergency treatment and services.,
MB055,Man.,Health workforce,Health workforce — licence reinstatement/reclassification,https://www.crnm.mb.ca/about/covid-19,https://news.gov.mb.ca/news/index.html?item=47345&posted=2020-04-01,To be completed,Provincial/territorial,FALSE,2020-04-01,2020-04-01,College of Registered Nurses of Manitoba,"Waived or modified registration requirements for former registered nurses and nurse practitioners, allowing them to apply for temporary registration during the pandemic on an expedited basis and at no cost. Licence valid for 4 months with possibility of extension.",
MB056,Man.,Health workforce,Health workforce — licence reinstatement/reclassification,https://www.midwives.mb.ca/document/5463/Policy%20on%20Emergency%20Registration.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-06,2020-04-03,College of Midwives of Manitoba,Emergency registration available to non-practising registrants and practising midwives from other Canadian jurisdictions,
MB057,Man.,Health workforce,Health workforce — licence reinstatement/reclassification,https://cpsm.mb.ca/assets/COVID19/Registration%20during%20COVID-19.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-06,2020-04-06,College of Physicians and Surgeons of Manitoba,"Announced that individuals who meet the statutory requirements for registration for physicians, surgeons, clinical assistants and physician assistants may be registered under emergency measures and should contact Shared Health to coordinate the delegation of their assistance where there is the most need. Final-year residents in Royal College training programs can be enrolled on the Specialist Register while in the Provisional Class.",
MB058,Man.,Health workforce,Health workforce — licence reinstatement/reclassification,https://www.clpnm.ca/covid/expedited-reinstatement-pandemic-service-provision/,Not applicable,To be completed,Provincial/territorial,FALSE,,2020-04-14,College of Licensed Practical Nurses of Manitoba,"Waived or modified registration requirements for former licensed practical nurses, allowing them to apply for reinstatement registration during the pandemic on an expedited basis and at no cost. Licence is valid for 4 months.",
MB059,Man.,Travel,Travel — self-isolation,https://news.gov.mb.ca/news/index.html?item=46839&posted=2020-02-13,Not applicable,To be completed,Provincial/territorial,FALSE,2020-02-13,,"Ministry of Health, Seniors and Active Living, public health officials","Reminding Manitobans that the Public Health Agency of Canada is recommending that travellers who have been in the province of Hubei, including the city of Wuhan, self-isolate for 14 days after departing the area",
MB061,Man.,Travel,Travel — restrictions,https://news.gov.mb.ca/news/index.html?item=46977&posted=2020-03-16,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-16,,Public health officials,"Strongly advising all Manitobans, including health care providers, to cancel or postpone any non-essential international travel",
MB063,Man.,Health services,Health services — delayed medical procedures ,https://news.gov.mb.ca/news/index.html?item=47217&posted=2020-03-24,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-24,,Public health officials,"Non-essential and routine diagnostic testing, including laboratory, imaging and non-invasive cardiac services postponed.",
MB064,Man.,Health services,Health services — equipment,https://news.gov.mb.ca/news/index.html?item=47257&posted=2020-03-25,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-25,,Government of Manitoba,"Solicited products and supplies (N95 respirators, surgical/procedure masks, nitrile gloves, vinyl gloves, nasopharyngeal swabs, specific types of reagent to be used in labs, gowns, hand sanitizer, cleaning supplies and disinfecting supplies) from those willing to manufacture items to assist in efforts against COVID-19.",
MB067,Man.,Health services,Health services — equipment,https://news.gov.mb.ca/news/index.html?item=47380&posted=2020-04-03,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-03,,Government of Manitoba,"Announced investment more than $100 million to accelerate the pace at which Manitoba is procuring essential medical supplies and equipment, hotel capacity and other critical needs to help prepare for COVID-19.",
MB068,Man.,Closures,Closures — recreation,https://news.gov.mb.ca/news/index.html?item=47467&posted=2020-04-09,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-09,,Chief Provincial Public Health Officer,"Closed public facilities located within the parks, but kept provincial parks open",
MB069,Man.,Case management,Case management — test criteria,https://sharedhealthmb.ca/files/covid-19-change-in-screening-and-testing-criteria-april-9.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-09,2020-04-09,Public health officials,"Expanded testing criteria to include symptomatic first responders, including volunteers, regardless of their travel or contact history",
MB071,Man.,Case management,Case management — test criteria,https://sharedhealthmb.ca/files/covid-19-updated-testing-criteria-april-16.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-16,2020-04-16,Public health officials,"Expanded testing criteria to include symptomatic individuals who live with a health care worker, first responder or worker in a congregate setting such as a correctional facility, shelter, long-term care or residential facility AND symptomatic workers and volunteers who work at workplaces identified as “essential services” (health care workers and first responders are now included within this category)",
MB072,Man.,Closures,Closures — recreation,https://www.gov.mb.ca/sd/pubs/parks-protected-spaces/parks_covid.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-03,,Manitoba Parks,"Decided to postpone the remaining dates for making campground reservations. Existing yurt, cabin, group use and Birds Hill campground reservations remain valid, but may be cancelled if the situation changes.",
MB073,Man.,Case management,Case management — test criteria,https://sharedhealthmb.ca/files/covid-19-screening-testing-fact-sheet.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,,,Shared Health Manitoba,"Prioritizing the following to receive testing for COVID-19: anyone who has acute respiratory symptoms of any degree of severity (cold- or flu-like symptoms such as fever, cough, aches, chills, etc.) AND who has returned from travel outside Manitoba, including travel within Canada, and developed symptoms within 14 days of their return; OR has had exposure* to a confirmed case of COVID-19; OR has had laboratory exposure as a person who works directly with biological specimens known to contain COVID-19; OR is a health care worker; OR lives or works in a remote or isolated community or congregate setting, such as a correctional facility, shelter, long-term care or residential facility, or a remote work camp. (Note: *Exposure may include scenarios like large events or settings with confirmed case(s) of COVID-19.)",
MB074,Man.,Case management,Case management — self-isolation,https://www.gov.mb.ca/asset_library/en/coronavirus/coronavirus_selfisolation.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,,,Public health officials,"Published self-isolation guidance for confirmed COVID-19 cases and people at high risk of having been exposed to the illness (i.e., through direct contact with an ill person or in recent travels)",
MB075,Man.,Openings,Openings — recreation,https://www.gov.mb.ca/sd/parks/,https://www.gov.mb.ca/sd/pubs/parks-protected-spaces/parks_covid.pdf,To be completed,Provincial/territorial,FALSE,,,Manitoba Parks,Kept parks open for Manitobans to visit and enjoy the outdoors. Social distancing must be practised at all times.,
MB077,Man.,Health services,Health services — visitors,https://news.gov.mb.ca/news/index.html?item=47097,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-19,2020-03-19,Government of Manitoba,Suspended visitor access at all Manitoba hospitals with exceptions for compassionate reasons made on a case-by-case basis,
MB078,Man.,Health services,Health services — visitors,https://news.gov.mb.ca/news/?archive=&item=47119,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-19,2020-03-19,Government of Manitoba,Limited hospital pediatric patients to only 1 parent or guardian visiting at a time following stringent screening,
MB081,Man.,Health services,Health services — resumed medical procedures,https://news.gov.mb.ca/news/index.html?item=47621&posted=2020-04-24,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-24,,Public health officials,"Announced that several facilities across the province will begin to increase their surgical activity. Surgeries will be scheduled for the most urgent cases first, and all necessary precautions will be taken to protect staff and patients from the risk of COVID-19.",
MB082,Man.,Health services,Health services — telemedicine/virtual care,https://news.gov.mb.ca/news/index.html?item=47626&posted=2020-04-25,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-25,2020-04-25,Government of Manitoba,"Expanded existing time-limited tariffs for primary care visits and psychotherapy care to additional virtual services, including virtual primary care visits for residents of personal care homes; consultation by telephone or video for family physicians and specialists; consultation by developmental pediatricians for families who care for children with developmental difficulties; and chronic pain management assessments and follow-up appointments",
MB083,Man.,Case management,Case management — test criteria,https://news.gov.mb.ca/news/index.html?item=47661&posted=2020-04-28,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-28,2020-04-28,Public health officials,"Expanded testing criteria to include any Manitoban with symptoms of COVID-19, even mild symptoms including a cough, runny nose, sore throat and/or fever",
MB085,Man.,Openings,Openings — non-essential services,https://news.gov.mb.ca/news/index.html?item=47664&posted=2020-04-29,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-29,2020-05-04,Public health officials,"Reopened businesses and services under strict guidelines: all businesses and venues will be required to continue following social distancing and stringent cleaning practices. Services, businesses and venues include retail businesses, restaurants with patio/walk-up services and hair salons.",
MB086,Man.,Health workforce,Health workforce — safety guidelines,https://news.gov.mb.ca/news/index.html?item=47667&posted=2020-04-30,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-30,2020-05-01,"Government of Manitoba, Public health officials",Issued order restricting staff from working in more than 1 licensed personal care home (PCH). The single-site restriction is intended to provide additional protection against the introduction and/or spread of the COVID-19 virus within PCHs.,
MB088,Man.,Openings,Openings — recreation,https://news.gov.mb.ca/news/index.html?item=47677&posted=2020-05-01,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-01,2020-05-04,Manitoba Parks,Announced that reservations for Manitoba campgrounds would open,
MB090,Man.,Openings,Openings — daycares,https://news.gov.mb.ca/news/index.html?item=47757&posted=2020-05-02,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-02,2020-05-02,Government of Manitoba,All Manitobans returning to work are now eligible to access the temporary child care system to find a location that meets their needs. Families can use the online tool at https://eswchildcare.ca/ to view available spaces and then contact centres directly to finalize arrangements.,
MB093,Man.,Public information,Public information — pandemic response plans,https://news.gov.mb.ca/news/index.html?item=47664&posted=2020-04-29,https://www.gov.mb.ca/covid19/restoring/,To be completed,Provincial/territorial,FALSE,2020-04-29,2020-01-17,"Government of Manitoba, Premier","Released phased provincial reopening plan; the initial phase, ""Initial Pandemic Response,"" was backdated to January 17",
MB094,Man.,Openings,Openings — health services,https://news.gov.mb.ca/news/index.html?item=47664&posted=2020-04-29,https://www.gov.mb.ca/covid19/restoring/phase-one.html,To be completed,Provincial/territorial,FALSE,2020-04-29,2020-05-04,Government of Manitoba,"Announced that regulated health professionals such as dentists, dental hygienists, chiropractors, physiotherapists, optometrists and podiatrists will no longer be limited to providing urgent and emergent care. Therapeutic massage and acupuncture services may also resume. All businesses will be required to limit occupancy to 50% of normal business levels or 1 person per 10 square metres, whichever is less.",
MB098,Man.,Health workforce,Health workforce — safety guidelines,https://cdhm.info/may-1st-cdhm-registrant-guiding-document-for-Covid-19-transition-phase/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-29,2020-05-01,College of Dental Hygienists of Manitoba,Released guidance document for dental hygienists to support safe reopening. Strongly recommends that non-urgent dental hygiene services remain suspended.,
MB099,Man.,Health workforce,Health workforce — safety guidelines,https://www.manitobadentist.ca/PDF/Covid-19/April%2030%202020%20Interim%20IPC%20Guidelines%20Related%20to%20Covid-19%20Management%20Effective%20May%204.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-30,2020-05-04,Manitoba Dental Association,Released interim COVID-19 management guidelines for emergency dental care,
MB100,Man.,Openings,Openings — recreation,https://news.gov.mb.ca/news/index.html?item=47918&posted=2020-05-06,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-06,2020-05-09,Government of Manitoba,Officially opened some regions for fishing season with a reminder for Manitobans to practise social distancing when outside,
MB101,Man.,Health services,Health services — equipment,https://news.gov.mb.ca/news/index.html?item=47997&posted=2020-05-08,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-08,,Government of Manitoba,Announced a plan to purchase up to 1 million made-in-Manitoba N95 reusable silicone masks for front-line health care workers,
MB102,Man.,Openings,Openings — recreation,https://news.gov.mb.ca/news/index.html?item=48159&posted=2020-05-14,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-14,2020-05-14,Government of Manitoba,"Officially opened provincial parks, campgrounds or cottages for camping season with a reminder for Manitobans to practise social distancing, limit gatherings to 10 people and avoid travelling north of the 53rd parallel",
MB103,Man.,Case management,Case management — test criteria,https://news.gov.mb.ca/news/index.html?item=48197&posted=2020-05-15,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-15,2020-05-15,Government of Manitoba,Amended testing criteria to no longer require a referral from Health Links-Info Santé or a family physician in order to get tested at a community site,
MB104,Man.,State of emergency,State of emergency,https://news.gov.mb.ca/news/index.html?item=48217&posted=2020-05-15,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-15,2020-05-17,Government of Manitoba,Extended the provincial state of emergency,
MB105,Man.,Closures,Closures — recreation,https://news.gov.mb.ca/news/index.html?item=48242&posted=2020-05-18,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-18,2020-05-18,Government of Manitoba,Suspended all provincial burn permits issued under The Wildfires Act within the burning permit area as a wildfire prevention measure and to minimize the risk of COVID-19 exposure for front-line firefighters,
MB106,Man.,Distancing,Distancing — gatherings,https://news.gov.mb.ca/news/index.html?item=48278&posted=2020-05-20,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-20,2020-05-22,Government of Manitoba,"Increased the limit on indoor gatherings to 25 people or fewer, and outdoor gatherings to 50 people or fewer, providing physical distancing measures are in place",
MB107,Man.,Health services,Health services — visitors,https://news.gov.mb.ca/news/index.html?item=48278&posted=2020-05-20,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-20,2020-05-29,Government of Manitoba,"Put procedures in place to allow limited, outdoor visitation at personal care homes. Enhanced screening will occur upon arrival along with hand hygiene and physical distancing. A maximum of 2 visitors will be allowed at a time. Indoor visits will remain suspended for now, except for compassionate reasons.",
MB108,Man.,Public information,Public information — phase and alert level changes,https://news.gov.mb.ca/news/index.html?item=48279&posted=2020-05-21,https://news.gov.mb.ca/news/index.html?item=48325&posted=2020-05-27,To be completed,Provincial/territorial,FALSE,2020-05-21,2020-06-01,Government of Manitoba,"All regions in the province entered Phase 2 of the ""Restoring Services"" reopening plan.",
MB109,Man.,Openings,Openings — recreation,https://news.gov.mb.ca/news/index.html?item=48284&posted=2020-05-22,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-22,2020-05-22,Government of Manitoba,"Allowed players, coaches, managers, training staff and medical personnel employed by or affiliated with a professional sports team to attend the team's facilities for the purposes of training and practising, provided that no members of the public enter those facilities",
MB110,Man.,Openings,Openings — daycares,https://news.gov.mb.ca/news/index.html?item=48325&posted=2020-05-27,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-27,2020-06-01,Government of Manitoba,Increased child care centre occupancy to up to 24 children plus staffing,
MB111,Man.,Openings,Openings — recreation,https://news.gov.mb.ca/news/index.html?item=48325&posted=2020-05-27,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-27,2020-06-01,Government of Manitoba,"Lifted occupancy limits at outdoor recreation facilities and golf courses outdoors, as long as physical distancing can be maintained and allowing limited access to indoor spaces; resumed sports, arts and cultural activities for children and adults; allowed direct travel to northern parks, campgrounds, cabins, lodges and resorts while ensuring physical distancing; allowed public/private swimming pools, spas, fitness clubs, gyms and community/service centres to reopen with some limitations",
MB116,Man.,Openings,Openings — non-essential services,https://news.gov.mb.ca/news/index.html?item=48325&posted=2020-05-27,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-27,2020-06-01,Government of Manitoba,"Allowed religious or other organizations to hold outdoor services or events without limitation on numbers if people stay in their vehicles; reopened manicurists and pedicurists, tattoo parlours, estheticians, cosmetologists, electrologists and tanning parlours at 50% capacity; permitted restaurants, bars, beverage rooms, micro-brewers and similar businesses to reopen indoor spaces at 50% capacity and continue to offer patio services at 50% capacity level",
MB119,Man.,Openings,Openings — health services,https://news.gov.mb.ca/news/index.html?item=48325&posted=2020-05-27,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-27,2020-06-01,Government of Manitoba,Lifted occupancy limits of 50% of normal business levels or 1 person per 10 square metres for regulated health professions; limits continue for non-regulated professions,
MB120,Man.,Health workforce,Health workforce — change in practice,https://sharedhealthmb.ca/files/covid-19-guidance-for-obstetrics.pdf,https://sharedhealthmb.ca/files/covid-19-guidance-for-obstetrics.pdf,To be completed,Provincial/territorial,FALSE,2020-05-07,2020-05-06,Shared Health Manitoba,Issued guidance for health care providers on precautions and provisions for obstetrical care during COVID-19,
MB121,Man.,Health workforce,Health workforce — safety guidelines,https://cdhm.info/may-26-cdhm-interim-infection-prevention-control-ipc-guidance-effective-june-1st-2020/,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-26,2020-06-01,College of Dental Hygienists of Manitoba,Provided dental hygienists with safety guidelines for reopening,
MB122,Man.,Health workforce,Health workforce — safety guidelines,https://www.crnm.mb.ca/about/covid-19,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-01,2020-05-04,College of Registered Nurses of Manitoba,Issued guidelines for registered nurses and nurse practitioners for the safe resumption of services,
MB123,Man.,Closures,Closures — non-essential services,https://www.gov.mb.ca/asset_library/en/proactive/2019_2020/orders-soe.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-20,2020-03-20,"Minister of Health, Seniors and Active Living",Prohibited public gatherings of any size at any restaurant or other commercial facility where food is served,
MB124,Man.,Case management,Case management — case definition,https://web.archive.org/web/20200322151044/https://manitoba.ca/asset_library/en/coronavirus/interim_guidance.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-03-15,2020-03-15,Government of Manitoba,"Published case definition, which aligns with the national case definition",
MB125,Man.,Case management,Case management — case definition,https://manitoba.ca/asset_library/en/coronavirus/interim_guidance.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-11,2020-04-11,Government of Manitoba,"Updated case definition of suspect and probable cases, which aligns with the national case definition",
MB126,Man.,Public information,Public information — masks,https://www2.metisnation.ca/news/mmf-daily-message/,Not applicable,To be completed,Regional,TRUE,2020-05-30,2020-05-30,Manitoba Métis Federation,Provided an update on an initiative to make face masks for elders and youth for distribution,
MB127,Man.,Health services,Health services — visitors,https://news.gov.mb.ca/news/index.html?item=48384&posted=2020-06-03,https://news.gov.mb.ca/asset_library/en/newslinks/2020/06/BG-Restoring_Hospital_Visitations-HL.pdf,To be completed,Provincial/territorial,FALSE,2020-06-03,2020-06-05,Government of Manitoba,Patients in hospitals and health centres permitted 1 designated support person who may visit daily,
MB128,Man.,Health services,Health services — equipment,https://news.gov.mb.ca/news/index.html?item=48438&posted=2020-06-11,Not applicable,To be completed,Provincial/territorial,TRUE,2020-06-11,2020-06-11,"Government of Manitoba, Public Health Agency of Canada","Public Health Agency of Canada and the Manitoba First Nation Pandemic Response Co-ordination Team, in partnership with the First Nations Inuit Health Branch, have deployed 4 rapid-response COVID-19 testing machines (GeneXpert) to northern Manitoba communities.",
MB129,Man.,State of emergency,State of emergency,https://news.gov.mb.ca/news/index.html?item=48457&posted=2020-06-15,Not applicable,To be completed,Provincial/territorial,FALSE,2020-06-15,2020-06-15,Government of Manitoba,Extended the provincial state of emergency,
MB131,Man.,Distancing,Distancing — gatherings,https://www.gov.mb.ca/asset_library/en/proactive/2020_2021/restoring-safe-services-phase-3.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-06-17,2020-06-21,Government of Manitoba,"Increased the limit on indoor gatherings to 50 people or fewer, and outdoor gatherings to 100 people or fewer, provided physical distancing measures are in place",
MB132,Man.,Travel,Travel — self-isolation,https://www.gov.mb.ca/asset_library/en/proactive/2020_2021/restoring-safe-services-phase-3.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-06-17,2020-06-21,Public health officials,"Lifted requirement to self-isolate for 14 days for asymptomatic travellers returning to Man. from western Canadian jurisdictions (B.C., Alta., Sask., Y.T., N.W.T. and Nun.) or northwestern Ontario (west of Terrace Bay).",
MB133,Man.,Openings,Openings — daycares,https://www.gov.mb.ca/asset_library/en/proactive/2020_2021/restoring-safe-services-phase-3.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-06-17,2020-06-21,Government of Manitoba,"Child care centres can return to their regular licensed capacity, provided that measures can be taken to comply with guidelines; day camps can operate with a maximum of 50 children",
MB134,Man.,Openings,Openings — non-essential services,https://www.gov.mb.ca/asset_library/en/proactive/2020_2021/restoring-safe-services-phase-3.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-06-17,2020-06-21,Government of Manitoba,"Lifted occupancy limits at retail businesses, restaurants and bars; may fully operate if they implement measures to ensure that members of the public are reasonably able to maintain a separation of at least 2 metres from others, except for brief exchanges",
MB135,Man.,Openings,Openings — health services,https://www.gov.mb.ca/asset_library/en/proactive/2020_2021/restoring-safe-services-phase-3.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-06-17,2020-06-21,Government of Manitoba,Occupancy limits lifted for all health professions,
MB136,Man.,Openings,Openings — recreation,https://www.gov.mb.ca/asset_library/en/proactive/2020_2021/restoring-safe-services-phase-3.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-06-17,2020-06-21,Government of Manitoba,Guidance provided to recreational facilities that all activities must maintain a distance of at least 2 metres and that they will be required to limit occupancy to 50% of normal business levels and limit congregation of groups,
MB137,Man.,Health workforce,Health workforce — safety guidelines,https://www.manitobaphysio.com/cpm-covid-19-bulletin-16,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-29,2020-06-01,College of Physiotherapists of Manitoba,Issued guidance that personal protective equipment requirements include masks that are of a surgical or procedural quality — cloth masks worn by physiotherapists are not permitted. Registrants cautioned against making hand sanitizing solutions at home.,
MB138,Man.,Health workforce,Health workforce — safety guidelines,https://www.manitobadentist.ca/PDF/COVID-19/May%2022%202020%20Pathway%20and%20Interim%20IPC%20Guidance%20for%20Patient%20Care%20During%20Phase%202%20of%20the%20COVID-19%20Response.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-06-01,2020-06-01,Manitoba Dental Assistant Association,,
MB139,Man.,Health workforce,Health workforce — change in practice,https://cpsm.mb.ca/assets/COVID19/Scope%20of%20Practice%202020%2004%2006.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-06,2020-04-06,College of Physicians and Surgeons of Manitoba,"Announced that physician assistants (PAs) can practise outside of scope during COVID-19 and provided a list of examples (e.g., a PA who works in surgery may be asked to support patient care in the emergency department)",
MB140,Man.,Case management,Case management — self-isolation,https://web.archive.org/web/20200324142231/https://www.gov.mb.ca/asset_library/en/coronavirus/coronavirus_selfisolation.pdf,Not applicable,To be completed,Provincial/territorial,FALSE,,2020-02-10,Government of Manitoba,Published self-isolation guidance for people at risk of having been exposed to COVID-19 (earliest publication date tracked using Wayback Machine),
MB141,Man.,Openings,Openings — daycares,https://news.gov.mb.ca/news/index.html?item=47664&posted=2020-04-29,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-29,2020-05-04,Public health officials,Permitted seasonal day camps to open,
MB142,Man.,Openings,Openings — recreation,https://news.gov.mb.ca/news/index.html?item=47664&posted=2020-04-29,Not applicable,To be completed,Provincial/territorial,FALSE,2020-04-29,2020-05-04,Public health officials,"Reopening of museums, galleries and libraries, and outdoor recreation and campgrounds",
MB143,Man.,Public information,Public information — phase and alert level changes,https://www.gov.mb.ca/covid19/restoring/approach.html,Not applicable,To be completed,Provincial/territorial,FALSE,2020-05-04,2020-05-04,Government of Manitoba,"All regions in the province entered Phase 1 of the ""Restoring Services"" reopening plan.",
MB144,Man.,Openings,Openings — education,https://news.gov.mb.ca/news/index.html?item=48514&posted=2020-06-25,Not applicable,To be completed,Provincial/territorial,FALSE,2020-06-25,2020-06-25,Government of Manitoba,"Released a planning framework for the resumption of in-class learning for all students from K-12; allowing schools and school divisions to prepare plans that are flexible at the local level, yet consistent with those at other sites across the province",
MB145,Man.,Travel,Travel — restrictions,https://news.gov.mb.ca/news/index.html?item=48520&posted=2020-06-26,https://manitoba.ca/asset_library/en/proactive/2020_2021/orders_soe_northern_06262020.pdf ,To be completed,Regional,FALSE,2020-06-26,2020-06-26,Government of Manitoba,Removed restrictions on travel to northern Manitoba and remote communities,
MB146,Man.,Travel,Travel — self-isolation,https://news.gov.mb.ca/news/index.html?item=48520&posted=2020-06-26,https://manitoba.ca/asset_library/en/proactive/2020_2021/orders_soe_selfisolation_06262020.pdf,To be completed,Provincial/territorial,FALSE,2020-06-26,2020-06-26,Government of Manitoba,Removed the requirement for people coming to Manitoba to work on film productions and members of Manitoba professional sports teams to self-isolate for 14 days before entering the province,
MB147,Man.,Case management,Case management — self-isolation,https://news.gov.mb.ca/news/index.html?item=48520&posted=2020-06-26,https://manitoba.ca/asset_library/en/proactive/2020_2021/orders_soe_selfisolation_06262020.pdf,To be completed,Provincial/territorial,FALSE,2020-06-26,2020-06-26,Government of Manitoba,"Permitted individuals who are self-isolating under federal or provincial health orders to visit a family member or friend who has a life-threatening disease in a health care facility, if the facility permits them to do so and they are not displaying symptoms of COVID-19",
MB148,Man.,State of emergency,State of emergency,https://news.gov.mb.ca/news/index.html?item=48580&posted=2020-07-14,Not applicable,To be completed,Provincial/territorial,FALSE,2020-07-14,2020-07-14,Government of Manitoba,Extended the provincial state of emergency,
MB149,Man.,Public information,Public information — phase and alert level changes,https://news.gov.mb.ca/news/index.html?item=48468&posted=2020-06-17,http://www.manitoba.ca/covid19/restoring/phase-three.html,To be completed,Provincial/territorial,FALSE,2020-06-17,2020-06-21,Government of Manitoba,"All regions in the province entered Phase 3 of the ""Restoring Services"" reopening plan.",
MB150,Man.,Public information,Public information — phase and alert level changes,https://news.gov.mb.ca/news/index.html?item=48699&posted=2020-07-23,http://www.manitoba.ca/covid19/restoring/phase-four.html,To be completed,Provincial/territorial,FALSE,2020-07-23,2020-07-25,Government of Manitoba,"All regions in the province entered Phase 4 of the ""Restoring Services"" reopening plan.",
MB151,Man.,Health services,Health services — visitors,https://news.gov.mb.ca/news/index.html?item=48699&posted=2020-07-23,http://www.manitoba.ca/covid19/restoring/phase-four.html,To be completed,Provincial/territorial,FALSE,2020-07-23,2020-07-25,Government of Manitoba,"Permitted residents or designates of residents in personal care and long-term care settings to identify 2 support people (close family and/or friends) who will simultaneously be able to visit the resident's room indoors, for unlimited visitation time, to provide active care and support to the resident's emotional well-being, health and quality of life. In addition, residents/designates may identify general visitors who wish to visit for social reasons. Screening of all indoor visitors must occur prior to entry. Indoor visitation will be permitted provided that the visitor(s) is symptom free; wears a mask while in the personal care home; and travels straight to the resident's room without loitering in any common areas or other resident rooms.",
