"Region","Class","Province","HR","Index_of_remoteness","Area_sq_km","Population","Dwellings","Households","Cpls_w_0_ch","Cpls_w_children","Cpls_w_1_ch","Cpls_w_2_ch","Cpls_w_3_or_more_ch","Sgls_w_ch","Sgls_w_1_ch","Sgls_w_2_ch","Sgls_w_3_or_more_ch","Not_in_families","Commute_wi_CSD","Commute_wi_CD_not_CSD","Commute_wi_prov_not_CD","Commute_extra_prov","Population_Density","MIZ_score"
"Cambridge","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3036",145.92005,647,617,260,115,50,20,15,10,15,10,5,0,100,25,25,105,0,5.7,2
"Cambridge-Narrows","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.317",123.69022,562,659,286,140,40,20,15,5,15,10,5,0,100,15,30,85,0,5.2,2
"Johnston","Moderate","New Brunswick","Zone 2 (Saint John area)","0.3027",370.3203,560,392,262,110,50,20,25,0,15,10,5,0,115,10,50,105,15,1.6,2
"Waterborough","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3042",514.63151,847,885,406,185,70,30,20,10,25,20,5,0,150,20,105,95,0,1.9,2
"Canning","Strong","New Brunswick","Zone 3 (Fredericton area)","0.3185",277.73193,924,755,447,200,85,45,30,10,25,20,5,0,155,20,60,140,10,5.3,3
"Minto","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3277",31.6784,2305,1170,1082,335,200,115,70,20,160,105,45,15,470,400,85,195,20,72.8,2
"Chipman","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3263",496.26474,913,541,430,190,85,45,30,15,35,25,10,0,140,50,155,55,0,1.9,2
"Chipman","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3245",20.31336,1104,638,573,205,80,35,35,10,60,45,10,5,255,175,65,65,0,58.1,2
"Hammond","Strong","New Brunswick","Zone 2 (Saint John area)","0.3081",246.36354,251,153,114,50,20,5,15,5,5,5,0,5,40,10,60,0,0,1,3
"Norton","Moderate","New Brunswick","Zone 2 (Saint John area)","0.3041",75.71088,1382,567,525,175,195,80,70,45,45,30,10,5,155,70,275,130,10,18.3,2
"Sussex","Moderate","New Brunswick","Zone 2 (Saint John area)","0.2903",244.88276,2516,1050,996,350,325,130,140,55,100,65,30,10,285,205,535,180,35,10.3,2
"Sussex","Moderate","New Brunswick","Zone 2 (Saint John area)","0.2979",9.08871,4282,2147,1988,550,390,190,125,75,275,160,75,40,910,815,370,190,25,478.3,2
"Sussex Corner","Moderate","New Brunswick","Zone 2 (Saint John area)","0.2956",9.4595,1461,675,650,225,150,60,65,30,70,45,15,5,260,55,355,95,10,156.4,2
"Waterford","Weak","New Brunswick","Zone 2 (Saint John area)","0.3101",222.53299,469,260,197,80,60,30,20,15,10,10,0,0,55,10,120,20,0,2.1,1
"Cardwell","Moderate","New Brunswick","Zone 2 (Saint John area)","0.2922",312.7568,1353,709,569,230,145,60,50,35,50,35,10,5,180,65,215,105,10,4.3,2
"Havelock","Moderate","New Brunswick","Zone 2 (Saint John area)","0.296",349.58282,1061,550,438,160,125,60,40,30,50,25,15,5,145,75,105,220,10,3,2
"Studholm","Moderate","New Brunswick","Zone 2 (Saint John area)","0.2955",450.14889,3522,1481,1389,520,435,185,175,80,140,95,35,15,405,95,770,200,45,7.8,2
"Springfield","Moderate","New Brunswick","Zone 2 (Saint John area)","0.3041",256.22393,1525,885,630,225,190,85,70,30,60,35,20,10,200,90,330,125,15,6.1,2
"Kars","Strong","New Brunswick","Zone 2 (Saint John area)","0.3314",88.45195,325,352,140,60,35,15,10,10,10,5,5,0,40,20,25,30,10,4.3,3
"Riverside-Albert","Moderate","New Brunswick","Zone 1 (Moncton area)","0.3167",3.39087,350,168,140,40,20,5,10,5,25,20,5,0,60,30,30,45,0,104.5,2
"Harvey","Moderate","New Brunswick","Zone 1 (Moncton area)","0.3272",279.98302,333,248,165,70,20,10,5,5,20,10,5,0,65,0,50,30,0,1.2,2
"Alma","Moderate","New Brunswick","Zone 1 (Moncton area)","0.3337",47.96846,213,202,99,40,15,10,5,0,10,5,5,0,40,10,10,0,0,4.5,2
"Westmorland","Moderate","New Brunswick","Zone 1 (Moncton area)","0.268",179.1075,908,596,413,180,80,30,30,15,40,25,10,5,145,65,170,20,70,5.2,2
"Port Elgin","Weak","New Brunswick","Zone 1 (Moncton area)","0.2722",2.90841,408,196,169,40,30,5,10,10,30,10,15,10,80,60,35,0,10,153.5,1
"Botsford","Moderate","New Brunswick","Zone 1 (Moncton area)","0.3182",305.66978,1058,1045,491,225,85,50,30,10,40,20,10,10,200,40,210,10,50,3.5,2
"Beaubassin East","Strong","New Brunswick","Zone 1 (Moncton area)","0.2788",296.65831,6376,3388,2679,1160,735,380,285,70,235,150,60,25,840,330,1970,105,40,21.9,3
"Cap-Pelé","Moderate","New Brunswick","Zone 1 (Moncton area)","0.2664",23.86012,2425,1078,951,330,255,140,95,15,90,60,25,10,570,475,450,15,45,103.8,2
"Sackville","Moderate","New Brunswick","Zone 1 (Moncton area)","0.2667",587.71237,1182,553,495,200,145,75,45,25,45,30,5,5,145,15,310,10,65,2,2
"Sackville","Moderate","New Brunswick","Zone 1 (Moncton area)","0.2608",77.28821,5331,3010,2313,775,550,240,220,90,230,150,60,20,945,1265,410,35,305,71.9,2
"Shediac","Strong","New Brunswick","Zone 1 (Moncton area)","0.2724",199.62489,4789,2973,2103,905,500,255,200,45,175,110,45,15,740,250,1460,135,20,24.3,3
"Salisbury","Strong","New Brunswick","Zone 1 (Moncton area)","0.2912",876.85573,3388,1430,1340,495,400,165,160,70,150,100,35,15,455,205,715,170,30,3.9,3
"Petitcodiac","Strong","New Brunswick","Zone 1 (Moncton area)","0.2925",17.44803,1383,619,573,175,165,75,60,30,70,45,15,10,200,125,250,70,10,80.4,3
"Shediac","Strong","New Brunswick","Zone 1 (Moncton area)","0.2714",54.62782,6664,3141,2895,975,590,290,245,60,305,200,90,20,1350,1035,1320,135,15,123.5,3
"Dundas","Strong","New Brunswick","Zone 1 (Moncton area)","0.2787",177.08325,3914,2529,1690,735,420,205,170,45,145,105,35,10,565,215,235,1085,30,22.4,3
"Cocagne","Strong","New Brunswick","Zone 1 (Moncton area)","0.2834",70.96657,2649,1418,1160,515,280,155,95,25,95,65,30,0,380,90,215,610,10,39.7,3
"Wellington","Strong","New Brunswick","Zone 1 (Moncton area)","0.3047",191.25988,3079,1716,1319,590,325,175,115,30,130,90,40,5,415,100,615,350,10,16.7,3
"Bouctouche","Moderate","New Brunswick","Zone 1 (Moncton area)","0.2926",19.0868,2361,1179,1071,320,200,110,75,20,165,115,35,5,510,390,190,185,15,130.5,2
"Saint Mary","Strong","New Brunswick","Zone 1 (Moncton area)","0.2992",243.14155,1972,969,842,350,220,120,70,25,75,50,15,0,275,55,265,340,10,8.3,3
"Saint-Antoine","Strong","New Brunswick","Zone 1 (Moncton area)","0.2888",6.34987,1733,764,727,250,195,100,80,10,70,50,20,0,270,135,145,360,25,274.3,3
"Harcourt","Strong","New Brunswick","Zone 1 (Moncton area)","0.3118",1173.03302,346,274,165,70,25,10,5,5,15,15,0,0,75,10,20,80,0,0.3,3
"Weldford","Strong","New Brunswick","Zone 1 (Moncton area)","0.3156",624.41564,1338,743,597,205,140,65,50,25,55,45,10,10,265,80,160,130,10,2.2,3
"Richibucto 15","Weak","New Brunswick","Zone 1 (Moncton area)","0.3311",13.54492,1937,767,750,75,155,70,40,40,270,135,75,55,415,245,55,15,0,159.8,1
"Richibucto","Moderate","New Brunswick","Zone 1 (Moncton area)","0.336",263.28234,1887,1137,848,365,195,105,75,20,60,45,10,10,300,170,385,115,10,7.6,2
"Rexton","Moderate","New Brunswick","Zone 1 (Moncton area)","0.3072",6.89377,830,428,364,125,80,40,30,10,45,30,15,0,150,95,140,65,15,134.4,2
"Richibucto","Moderate","New Brunswick","Zone 1 (Moncton area)","0.3113",12.11135,1266,719,613,200,95,55,35,10,70,50,15,0,330,190,145,25,0,106.2,2
"Saint-Charles","Moderate","New Brunswick","Zone 1 (Moncton area)","0.3142",182.34535,1997,1083,887,380,205,105,80,20,85,55,20,5,310,15,480,115,20,11.4,2
"Saint-Louis","Moderate","New Brunswick","Zone 1 (Moncton area)","0.3323",263.20859,1802,785,727,315,190,100,70,15,75,60,15,0,210,45,395,100,0,7,2
"Saint-Louis de Kent","Weak","New Brunswick","Zone 1 (Moncton area)","0.3168",2.24685,856,442,395,115,60,40,15,5,65,50,15,0,225,50,130,60,10,426.3,1
"Acadieville","Moderate","New Brunswick","Zone 1 (Moncton area)","0.3458",332.37235,709,388,311,150,70,30,30,10,20,10,5,5,90,10,65,125,0,2.1,2
"Carleton","Moderate","New Brunswick","Zone 1 (Moncton area)","0.3244",443.15683,708,404,332,125,70,45,20,5,35,30,5,0,135,85,95,55,0,1.6,2
"Hardwicke","Strong","New Brunswick","Zone 7 (Miramichi area)","0.3902",285.70572,2201,1217,980,365,230,135,75,20,115,85,30,5,375,385,165,50,35,7.9,3
"Glenelg","CA","New Brunswick","Zone 7 (Miramichi area)","0.3378",510.67927,1560,742,649,250,175,85,65,25,95,55,25,15,175,30,495,15,0,3.1,4
"Chatham","CA","New Brunswick","Zone 7 (Miramichi area)","0.3377",27.32062,511,262,211,80,60,25,30,5,20,10,5,0,70,10,130,10,10,22.5,4
"Derby","CA","New Brunswick","Zone 7 (Miramichi area)","0.3425",69.5343,976,466,422,165,105,55,40,10,50,25,20,5,130,30,270,20,20,16,4
"Nelson","CA","New Brunswick","Zone 7 (Miramichi area)","0.3345",360.22964,957,431,390,135,105,35,55,15,55,35,10,5,135,10,285,30,15,2.7,4
"Rogersville","Strong","New Brunswick","Zone 7 (Miramichi area)","0.3305",327.06352,1102,543,488,220,115,65,35,15,35,20,10,5,160,130,125,85,0,3.4,3
"Rogersville","Moderate","New Brunswick","Zone 7 (Miramichi area)","0.3295",7.20482,1166,565,526,205,90,40,40,10,45,25,15,5,220,15,215,100,0,161.9,2
"Blackville","Strong","New Brunswick","Zone 7 (Miramichi area)","0.3512",832.55225,2028,974,806,295,215,90,90,35,95,65,20,10,255,85,315,25,10,2.5,3
"Blackville","Strong","New Brunswick","Zone 7 (Miramichi area)","0.3502",21.95228,958,417,376,115,115,35,55,20,55,35,15,5,115,100,170,35,25,45.3,3
"Blissfield","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3482",1243.41949,451,268,212,75,40,20,15,5,25,20,0,0,90,0,80,10,0,0.4,2
"Doaktown","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3438",30.14221,792,425,368,140,80,45,30,10,40,30,5,5,135,95,40,20,0,27.2,2
"Red Bank 4","CA","New Brunswick","Zone 7 (Miramichi area)","0.3573",16.1161,309,179,175,25,20,5,5,5,30,15,5,5,105,40,20,0,0,19.2,4
"Southesk","CA","New Brunswick","Zone 7 (Miramichi area)","0.3402",2522.4419,1694,834,710,270,205,115,70,20,75,45,25,5,215,35,490,25,10,0.7,4
"Upper Miramichi","Strong","New Brunswick","Zone 3 (Fredericton area)","0.343",1844.7977,2218,1291,975,370,215,110,70,35,115,70,30,10,355,140,160,195,10,1.2,3
"Northesk","CA","New Brunswick","Zone 7 (Miramichi area)","0.356",3383.34538,2263,1068,966,350,260,130,100,30,135,90,30,15,285,75,590,30,60,0.7,4
"Newcastle","CA","New Brunswick","Zone 7 (Miramichi area)","0.3418",584.63794,1136,522,467,170,125,60,40,20,65,45,20,10,145,15,395,25,10,2,4
"Big Hole Tract 8 (South Half)","CA","New Brunswick","Zone 7 (Miramichi area)","0.3705",27.86221,48,33,27,5,0,0,0,0,5,0,0,0,25,0,0,0,0,1.7,4
"Eel Ground 2","CA","New Brunswick","Zone 7 (Miramichi area)","0.3406",10.91359,532,234,219,25,55,25,20,10,55,35,10,10,130,50,60,0,0,48.8,4
"Alnwick","Strong","New Brunswick","Zone 7 (Miramichi area)","0.3824",682.6089,3640,1882,1592,550,385,220,140,30,235,155,65,15,580,170,625,115,40,5.4,3
"Neguac","Moderate","New Brunswick","Zone 7 (Miramichi area)","0.3745",26.77058,1684,783,712,265,160,80,65,15,90,50,30,5,285,270,195,85,20,62.9,2
"Esgenoôpetitj 14","Moderate","New Brunswick","Zone 7 (Miramichi area)","0.3772",9.89959,1179,401,381,55,115,35,40,40,145,75,40,30,200,30,125,20,0,122.9,2
"Miramichi","CA","New Brunswick","Zone 7 (Miramichi area)","0.3365",191.92527,17537,8248,7704,2455,1805,845,725,235,995,645,270,80,3130,5670,415,190,125,97.7,4
"New Maryland","CA","New Brunswick","Zone 3 (Fredericton area)","0.292",388.08799,2606,998,975,365,395,170,180,50,85,55,30,5,215,55,880,280,10,6.9,4
"New Maryland","CA","New Brunswick","Zone 3 (Fredericton area)","0.2779",21.33883,4174,1513,1499,520,670,240,320,115,105,65,35,10,295,85,1455,240,10,195.7,4
"Manners Sutton","CA","New Brunswick","Zone 3 (Fredericton area)","0.3118",570.39633,1777,1123,762,320,210,95,80,40,50,40,5,5,215,135,360,45,15,3.4,4
"Harvey","CA","New Brunswick","Zone 3 (Fredericton area)","0.3167",2.45489,358,158,150,55,40,15,15,5,15,5,5,5,50,20,100,0,10,145.8,4
"McAdam","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3416",14.44713,1151,618,520,190,105,60,35,15,65,40,15,10,200,185,100,45,15,80.6,2
"Canterbury","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3312",579.36817,525,456,223,100,55,25,15,15,20,15,10,0,65,15,60,60,0,0.9,2
"Canterbury","Strong","New Brunswick","Zone 3 (Fredericton area)","0.3568",5.3294,336,152,131,40,40,15,20,5,25,10,10,5,45,20,50,75,10,63,3
"Meductic","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.334",6.97649,173,78,68,25,25,10,10,5,0,5,0,5,15,10,10,15,0,25.9,2
"Dumfries","Strong","New Brunswick","Zone 3 (Fredericton area)","0.3274",320.41648,356,334,171,70,30,20,10,5,15,10,5,0,60,0,65,20,0,1.2,3
"Prince William","Strong","New Brunswick","Zone 3 (Fredericton area)","0.3096",324.03482,930,672,412,180,95,45,40,15,45,30,10,5,125,40,260,25,0,3.2,3
"Hanwell","CA","New Brunswick","Zone 3 (Fredericton area)","0.2772",152.74067,4750,1856,1740,620,710,265,325,120,150,90,50,10,380,200,1700,145,40,31.4,4
"Kingsclear","CA","New Brunswick","Zone 3 (Fredericton area)","0.2799",167.21481,2822,1069,1043,435,385,155,165,65,95,50,30,10,205,70,970,120,15,18.6,4
"Kingsclear 6","CA","New Brunswick","Zone 3 (Fredericton area)","0.2954",3.81049,493,186,185,25,35,15,10,10,75,45,15,15,80,70,40,0,0,129.4,4
"Queensbury","CA","New Brunswick","Zone 3 (Fredericton area)","0.3557",312.93697,1174,587,514,215,135,70,55,10,40,35,5,5,165,10,320,40,10,3.9,4
"Southampton","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3651",455.8573,1484,719,624,250,170,75,65,30,60,40,15,10,165,35,345,175,30,3.3,2
"Millville","Strong","New Brunswick","Zone 3 (Fredericton area)","0.3619",12.14885,273,152,122,45,30,10,15,5,10,10,0,0,40,0,50,35,10,22.5,3
"Bright","CA","New Brunswick","Zone 3 (Fredericton area)","0.3062",417.99149,3289,1440,1292,495,415,175,170,70,140,80,40,20,345,130,935,70,25,8.1,4
"Douglas","CA","New Brunswick","Zone 3 (Fredericton area)","0.2972",1456.56954,6154,2546,2365,900,830,365,335,130,230,135,75,25,635,140,2160,175,40,4.3,4
"Saint Marys","CA","New Brunswick","Zone 3 (Fredericton area)","0.281",755.42018,4837,1944,1866,655,670,280,290,100,185,120,50,25,515,155,1685,165,25,6.4,4
"Fredericton","CA","New Brunswick","Zone 3 (Fredericton area)","0.2784",139.37817,58220,28431,25957,7410,5895,2575,2450,870,2685,1760,710,215,13425,21570,970,1815,305,439.2,4
"Devon 30","CA","New Brunswick","Zone 3 (Fredericton area)","0.3157",2.72448,1038,323,318,50,120,40,35,50,105,60,25,15,125,70,180,0,0,381,4
"Stanley","Strong","New Brunswick","Zone 3 (Fredericton area)","0.3411",1231.50059,832,413,343,135,100,55,30,15,35,20,5,5,100,15,185,55,15,0.7,3
"Stanley","Strong","New Brunswick","Zone 3 (Fredericton area)","0.337",17.10741,412,182,160,55,35,15,10,10,30,15,5,5,55,30,50,10,0,24.1,3
"Nackawic","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3328",8.71669,941,455,419,170,95,35,45,15,40,20,15,5,135,170,70,40,0,119.3,2
"Richmond","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3695",260.93752,1303,586,529,195,170,75,60,30,45,25,15,5,155,45,425,60,0,5,1
"Woodstock","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3554",203.77175,2220,930,870,310,285,115,120,55,80,40,25,5,260,210,520,165,10,11.3,1
"Woodstock 23","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3552",1.80229,327,129,125,30,30,10,10,10,20,10,10,5,60,110,25,15,0,182,1
"Woodstock","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3557",16.47405,5228,2470,2316,640,535,250,210,75,285,190,75,25,1065,950,690,170,15,356.7,1
"Northampton","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3611",248.4106,1724,762,669,240,245,105,95,45,45,30,10,5,205,145,540,60,10,7.1,2
"Brighton","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3728",511.83972,1735,814,703,275,205,95,75,40,70,45,15,0,230,40,455,50,0,3.4,1
"Wakefield","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3662",200.0402,2767,1181,1108,410,345,140,140,60,105,70,25,10,330,185,775,115,10,14.1,1
"Wilmot","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3783",196.48663,1022,449,408,150,130,60,40,30,35,25,15,0,130,25,315,30,10,5.3,1
"Centreville","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3723",2.75747,557,278,254,80,50,15,30,10,30,15,15,5,110,45,115,20,0,208.9,1
"Simonds","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3661",77.91288,473,203,195,90,50,20,20,15,15,15,5,0,60,10,150,10,0,6.3,1
"Peel","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3763",114.16809,1196,496,459,160,150,60,55,30,45,25,10,10,165,25,360,20,0,10.6,1
"Aberdeen","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.4128",446.69935,781,503,347,135,85,45,30,10,30,25,5,0,115,65,130,35,0,1.8,2
"Florenceville-Bristol","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3734",16.75976,1604,723,668,215,190,70,90,35,80,50,25,10,235,395,200,35,0,102.7,1
"Kent","Weak","New Brunswick","Zone 3 (Fredericton area)","0.4104",843.8326,2153,953,888,285,255,120,85,50,120,70,40,10,315,80,595,45,15,2.6,1
"Bath","Weak","New Brunswick","Zone 3 (Fredericton area)","0.406",2.41608,476,224,191,40,45,25,10,10,35,25,10,0,90,30,90,15,0,237.9,1
"Wicklow","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3737",199.68602,1697,720,662,250,210,85,85,40,70,45,20,10,190,75,510,30,0,8.7,1
"Andover","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3959",127.12541,891,407,367,145,95,40,40,20,30,15,15,0,140,20,135,80,0,7.2,1
"Aroostook","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3892",2.23057,306,165,143,45,30,15,10,0,25,20,0,0,50,15,40,25,0,137.2,2
"Perth","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3973",324.27776,1082,575,463,215,105,40,45,20,35,15,10,5,145,15,175,65,0,3.4,1
"Perth-Andover","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.3913",9.93892,1590,769,717,210,130,55,55,25,90,55,20,20,340,275,70,75,0,177.3,2
"Tobique 20","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3968",26.9156,968,389,375,50,95,30,40,30,110,60,30,25,160,190,10,0,0,38.8,1
"Gordon","Weak","New Brunswick","Zone 3 (Fredericton area)","0.4175",1440.49149,1493,786,664,280,165,70,65,25,45,25,15,5,215,35,315,55,10,1,1
"Plaster Rock","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.4166",3.21861,1023,531,473,170,90,40,35,20,50,30,20,5,180,195,50,25,0,336.1,2
"Lorne","Moderate","New Brunswick","Zone 3 (Fredericton area)","0.5086",1681.27587,464,407,227,100,40,25,10,5,10,10,5,0,85,20,130,20,0,0.3,2
"Denmark","Weak","New Brunswick","Zone 3 (Fredericton area)","0.3897",761.75069,1471,733,632,235,165,70,65,30,65,35,15,10,200,25,270,55,0,2,1
"Grand Falls","Weak","New Brunswick","Zone 4 (Edmundston area)","0.3779",160.76666,1109,506,461,150,130,45,50,30,60,45,15,5,160,30,295,45,0,7,1
"Grand Falls","Weak","New Brunswick","Zone 4 (Edmundston area)","0.3778",19.21244,5326,2622,2467,855,490,205,215,70,250,160,70,15,1020,1360,200,355,15,294.4,1
"Drummond","Weak","New Brunswick","Zone 4 (Edmundston area)","0.383",1016.89475,2157,938,845,325,285,120,120,40,80,50,25,5,220,65,515,170,25,2.1,1
"Drummond","Weak","New Brunswick","Zone 4 (Edmundston area)","0.3857",8.90284,737,350,325,135,70,35,35,5,40,20,15,0,100,30,205,70,0,82.9,1
"Saint-André","Weak","New Brunswick","Zone 4 (Edmundston area)","0.3802",129.11756,1129,448,428,170,135,70,50,15,50,35,10,10,100,80,65,245,15,8.8,1
"Saint-André","Moderate","New Brunswick","Zone 4 (Edmundston area)","0.3776",8.04219,772,341,333,115,90,35,45,10,35,25,10,5,120,35,85,195,0,96,2
"Saint-Léonard","Weak","New Brunswick","Zone 4 (Edmundston area)","0.3744",347.14342,975,422,398,165,120,55,50,20,25,15,5,0,115,55,135,145,10,2.8,1
"Saint-Léonard","Moderate","New Brunswick","Zone 4 (Edmundston area)","0.3789",5.44373,1300,603,553,160,140,60,60,20,70,40,20,10,220,140,175,110,0,249.2,2
"Notre-Dame-de-Lourdes","Moderate","New Brunswick","Zone 4 (Edmundston area)","0.3772",187.34923,275,125,112,45,30,20,5,0,10,5,0,0,40,10,60,20,0,1.5,2
"Sainte-Anne","Strong","New Brunswick","Zone 4 (Edmundston area)","0.3858",370.49643,964,509,443,185,95,45,45,10,35,25,10,0,150,10,265,60,0,2.6,3
"Sainte-Anne-de-Madawaska","Strong","New Brunswick","Zone 4 (Edmundston area)","0.3842",9.52745,957,436,413,135,100,55,35,10,50,40,15,0,160,55,215,60,10,104.1,3
"Rivière-Verte","CA","New Brunswick","Zone 4 (Edmundston area)","0.3615",7.01776,724,358,338,125,70,45,20,10,40,30,10,0,120,15,220,25,10,108,4
"Rivière-Verte","CA","New Brunswick","Zone 4 (Edmundston area)","0.38",716.88289,711,346,308,110,85,40,35,10,30,20,15,0,100,15,245,10,0,1,4
"Saint-Basile","CA","New Brunswick","Zone 4 (Edmundston area)","0.377",130.65089,592,270,245,105,75,30,35,5,20,10,5,0,65,10,205,10,10,4.6,4
"St. Basile 10","CA","New Brunswick","Zone 4 (Edmundston area)","0.3605",3.22868,214,98,98,30,25,15,5,0,10,10,0,0,35,45,25,0,0,66.4,4
"Saint-Joseph","CA","New Brunswick","Zone 4 (Edmundston area)","0.3858",326.42557,1538,715,656,270,190,100,70,15,55,35,15,0,180,40,585,10,20,4.8,4
"Saint-Jacques","CA","New Brunswick","Zone 4 (Edmundston area)","0.3851",303.42219,1596,748,696,285,180,100,70,15,65,50,15,0,225,30,570,15,10,5.3,4
"Edmundston","CA","New Brunswick","Zone 4 (Edmundston area)","0.3741",110.00921,16580,8051,7567,2515,1555,755,645,160,725,480,190,55,3235,5305,655,135,135,155.2,4
"Saint-Hilaire","CA","New Brunswick","Zone 4 (Edmundston area)","0.4157",42.66255,478,196,194,80,65,20,35,5,15,5,5,5,50,0,185,0,0,11.4,4
"St. Hilaire","CA","New Brunswick","Zone 4 (Edmundston area)","0.3951",6.21948,252,101,89,25,40,10,20,5,10,0,0,0,20,0,80,10,0,44.4,4
"Baker Brook","CA","New Brunswick","Zone 4 (Edmundston area)","0.4356",125.99245,275,137,125,50,30,15,10,5,5,5,0,0,45,15,105,10,0,2.2,4
"Baker-Brook","CA","New Brunswick","Zone 4 (Edmundston area)","0.4286",13.37219,564,235,216,70,60,25,30,5,20,15,0,0,75,55,125,0,0,46,4
"Lac Baker","Strong","New Brunswick","Zone 4 (Edmundston area)","0.4351",43.10752,690,505,326,155,60,30,25,0,20,15,5,5,115,0,150,0,20,18.6,3
"Clair","Strong","New Brunswick","Zone 4 (Edmundston area)","0.447",44.19372,283,101,99,40,35,20,10,5,10,5,0,0,25,15,105,0,0,6.4,3
"Clair","Strong","New Brunswick","Zone 4 (Edmundston area)","0.4381",10.89882,781,409,364,125,85,35,40,10,30,20,5,0,145,100,180,15,10,73.6,3
"Saint-François","Strong","New Brunswick","Zone 4 (Edmundston area)","0.4489",349.07481,606,347,261,120,70,35,25,10,15,10,0,0,75,35,235,0,10,1.8,3
"Saint-François de Madawaska","Strong","New Brunswick","Zone 4 (Edmundston area)","0.4452",6.41146,470,265,236,80,45,25,15,0,20,15,0,0,110,95,90,0,0,73.5,3
"Durham","Moderate","New Brunswick","Zone 5 (Campbellton area)","0.4004",412.98878,1076,592,524,180,85,60,20,10,85,65,15,5,225,0,175,30,10,2.6,2
"Colborne","Moderate","New Brunswick","Zone 5 (Campbellton area)","0.402",756.89762,227,144,121,55,15,10,5,0,15,10,0,5,45,0,75,0,0,0.3,2
"Charlo","Strong","New Brunswick","Zone 5 (Campbellton area)","0.3933",31.45604,1310,719,624,275,115,55,45,15,60,40,20,5,195,85,305,35,15,41.9,3
"Balmoral","Strong","New Brunswick","Zone 5 (Campbellton area)","0.4097",1092.1043,278,120,114,45,35,20,10,5,10,5,5,0,35,10,100,0,0,0.3,3
"Balmoral","Strong","New Brunswick","Zone 5 (Campbellton area)","0.3993",43.45049,1674,720,698,270,195,95,80,15,75,50,20,5,210,105,500,15,15,38.6,3
"Dalhousie","CA","New Brunswick","Zone 5 (Campbellton area)","0.3828",111.02379,1067,531,483,195,110,60,40,10,40,30,10,5,175,20,310,10,20,17,4
"Eel River 3","Moderate","New Brunswick","Zone 5 (Campbellton area)","0.395",1.45687,329,146,143,25,30,20,10,5,35,20,5,10,65,65,35,0,10,225.8,2
"Eel River Crossing","Strong","New Brunswick","Zone 5 (Campbellton area)","0.3894",65.50792,1953,893,850,305,210,105,90,20,90,45,30,20,310,55,620,10,20,29.8,3
"Addington","CA","New Brunswick","Zone 5 (Campbellton area)","0.3872",938.64858,656,333,310,120,60,30,20,5,35,25,5,5,125,0,170,10,0,0.7,4
"Atholville","CA","New Brunswick","Zone 5 (Campbellton area)","0.3826",124.83299,3570,1584,1539,575,410,230,155,25,180,120,50,10,525,340,890,10,30,29.8,4
"Campbellton","CA","New Brunswick","Zone 5 (Campbellton area)","0.3837",25.91257,6883,3443,3120,845,575,275,230,65,430,290,105,30,1550,1475,625,50,120,370.5,4
"Tide Head","CA","New Brunswick","Zone 5 (Campbellton area)","0.381",24.85523,938,417,405,155,115,60,45,15,25,15,5,0,135,10,385,0,15,48.3,4
"Eldon","Strong","New Brunswick","Zone 5 (Campbellton area)","0.4408",1690.45156,657,360,330,105,65,40,20,5,30,20,5,5,155,15,135,0,15,0.4,3
"Dalhousie","Strong","New Brunswick","Zone 5 (Campbellton area)","0.3978",15.5924,3126,1696,1515,550,210,115,80,15,165,110,50,5,690,435,330,25,25,205.3,3
"Kedgwick","Moderate","New Brunswick","Zone 4 (Edmundston area)","0.409",663.60999,1979,956,887,285,205,95,90,20,110,70,30,5,365,315,265,25,10,3,2
