index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,geometry
2562,Arnprior Villa,retirement home,Nursing and residential care facilities,Province of Ontario,"",15,arthur street,K7S 1A1,arnprior,Ontario,"",Arnprior,3547002,35,-76.36493626|45.42438943
2564,Arul Oli Senior Centre,retirement home,Nursing and residential care facilities,Province of Ontario,"",8,snowy owl way,M1X 0B4,toronto,Ontario,"",Toronto,3520005,35,-79.23443505|43.83209692
2565,Ashwood Manor,retirement home,Nursing and residential care facilities,Province of Ontario,"",79,david street,N6P 1B4,london,Ontario,"",London,3539036,35,-81.28913502|42.90973516
2576,Atrium at Kew Beach,retirement home,Nursing and residential care facilities,Province of Ontario,"",500,kingston road,M4L 1V3,toronto,Ontario,"",Toronto,3520005,35,-79.30274076|43.67800329
2577,Atrium Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",230,coldwater road w,L3V 3M2,orillia,Ontario,"",Orillia,3543052,35,-79.43333849|44.60949175
2578,AU CHATEAU,long-term care home,Nursing and residential care facilities,Province of Ontario,"",100,michaud street,P2B 2Z4,west nipissing,Ontario,"",West Nipissing / Nipissing Ouest,3548055,35,-79.92058532|46.37203452
2580,Auberge Plein Soleil,retirement home,Nursing and residential care facilities,Province of Ontario,"",258,telegraphe road,K0B 1A0,alfred,Ontario,"",Alfred and Plantagenet,3502023,35,-74.87851758|45.55953881
2581,Augustine Villas Retirement Home and Assisted Living,retirement home,Nursing and residential care facilities,Province of Ontario,"",54,spruce street n,N9Y 2E5,kingsville,Ontario,"",Kingsville,3537013,35,-82.73671029|42.03996314
2583,Avalon Retirement Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,"",355,broadway avenue,L9W 3Y3,orangeville,Ontario,"",Orangeville,3522014,35,-80.11650514|43.9169995
2586,Aylmer Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",258,talbot street e,N5H 1H7,aylmer,Ontario,"",Aylmer,3534011,35,-80.97801581|42.77286835
2587,Babcock Community Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,"",196,wellington street,N0L 2N0,wardsville,Ontario,"",Southwest Middlesex,3539005,35,-81.75796234|42.6583997
2591,Balmoral Place Retirement Community,retirement home,Nursing and residential care facilities,Province of Ontario,"",8,harbour street w,L9Y 5B4,collingwood,Ontario,"",Collingwood,3543031,35,-80.23972254|44.50769829
2593,Banwell Gardens Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,"",3000,banwell road,N8N 2M4,windsor,Ontario,"",Windsor,3537039,35,-82.89979807|42.31060008
2597,Barnswallow Place Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,"",120,barnswallow drive,N3B 2Y9,elmira,Ontario,"",Woolwich,3530035,35,-80.57796106|43.59297082
2598,Barrhaven Manor,retirement home,Nursing and residential care facilities,Province of Ontario,"",110,berrigan drive,K2J 5A6,ottawa,Ontario,"",Ottawa,3506008,35,-75.74225964|45.27769903
2602,Barrie Manor Senior Living,retirement home,Nursing and residential care facilities,Province of Ontario,"",340,blake street,L4M 1L3,barrie,Ontario,"",Barrie,3543042,35,-79.65571934|44.3979773
2604,the Wellington Nursing Home,retirement home,Nursing and residential care facilities,Province of Ontario,"",1430,upper wellington street,L9A 5H3,hamilton,Ontario,"",Hamilton,3525005,35,-79.8796767|43.20948778
2606,Bay Haven Nursing Home,long-term care home,Nursing and residential care facilities,Province of Ontario,"",499,hume street,L9Y 4H8,collingwood,Ontario,"",Collingwood,3543031,35,-80.19803202|44.49946329
2608,Bay Ridges,long-term care home,Nursing and residential care facilities,Province of Ontario,"",900,sandy beach road,L1W 1Z4,pickering,Ontario,"",Pickering,3518001,35,-79.0771309|43.82847003
2611,Baycrest Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,"",3560,bathurst st,M6A 2E1,toronto,Ontario,3560 bathurst st. toronto on m6a 2e1,Toronto,3520005,35,-79.433654|43.7305734
2614,Bayfield House Retirement Lodge,retirement home,Nursing and residential care facilities,Province of Ontario,"",5,beck boulevard,L9M 1C1,penetanguishene,Ontario,"",Penetanguishene,3543072,35,-79.93728776|44.77457015
2615,Bayfield Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,"",100,elvira street,K0G 1J0,kemptville,Ontario,"",North Grenville,3507065,35,-75.65323739|45.01874519
2618,Bayview Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,"",175,walnut street,L0K 2C0,waubaushene,Ontario,"",Tay,3543071,35,-79.70792729|44.75224116
2619,Baywoods Place,long-term care home,Nursing and residential care facilities,Province of Ontario,"",330,main street e,L8N 3T9,hamilton,Ontario,"",Hamilton,3525005,35,-79.8569424|43.25176169
2620,Beach Arms Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",505,kingston road,M4L 1V5,toronto,Ontario,"",Toronto,3520005,35,-79.30233976|43.67733999
2621,Beacon Heights Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",2201,montreal road,K1J 0B4,ottawa,Ontario,"",Ottawa,3506008,35,-75.5870252|45.45085876
2623,Bearbrook Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",2645,innes road,K1B 3J7,ottawa,Ontario,"",Ottawa,3506008,35,-75.56384389|45.43259036
2624,Beattie Manor,retirement home,Nursing and residential care facilities,Province of Ontario,"",23328,beattie line,N0L 2N0,wardsville,Ontario,"",West Elgin,3534042,35,-81.74992014|42.6486067
2626,Beechwood Manor,retirement home,Nursing and residential care facilities,Province of Ontario,"",305,erb street w,N2L 1W4,waterloo,Ontario,"",Waterloo,3530016,35,-80.54209083|43.4562434
2628,Bella Senior Care Residences,long-term care home,Nursing and residential care facilities,Province of Ontario,"",8720,willoughby drive,L2G 7X3,niagara falls,Ontario,"",Niagara Falls,3526043,35,-79.04543772|43.05084229
2631,Bellwood Health Services Inc.,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,"",175,brentcliffe road,M4G 0C5,toronto,Ontario,"",Toronto,3520005,35,-79.36622688|43.7195849
2633,Belmont House,retirement home,Nursing and residential care facilities,Province of Ontario,"",55,belmont street,M5R 1R1,toronto,Ontario,"",Toronto,3520005,35,-79.39106979|43.67461349
2634,Belmont Long Term Care Facility,long-term care home,Nursing and residential care facilities,Province of Ontario,"",250,bridge street w,K8P 5N3,belleville,Ontario,"",Belleville,3512005,35,-77.40393509|44.16007616
2635,Belvedere Heights,long-term care home,Nursing and residential care facilities,Province of Ontario,"",21,belvedere avenue,P2A 2A2,parry sound,Ontario,"",Parry Sound,3549032,35,-80.03862375|45.34272524
2637,Benbowopka Treatment Centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,"",144,causley street,P0R 1B0,blind river,Ontario,"",Blind River,3557038,35,-82.94721488|46.18232273
2638,Bendale Acres,long-term care home,Nursing and residential care facilities,Province of Ontario,"",2920,lawrence avenue e,M1P 2T8,toronto,Ontario,"",Toronto,3520005,35,-79.25183955|43.75493801
2639,Bennett Health Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,"",1,princess anne drive,L7G 2B8,halton hills,Ontario,"",Halton Hills,3524015,35,-79.93394806|43.64477486
2640,Berkshire Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,"",350,dougall avenue,N9A 4P4,windsor,Ontario,"",Windsor,3537039,35,-83.04161991|42.31631637
2642,Bertram Place Retirement Living Centre,retirement home,Nursing and residential care facilities,Province of Ontario,"",21,hatt street,L9H 2E9,hamilton,Ontario,"",Hamilton,3525005,35,-79.95507773|43.26504409
2643,Beth Donovan Hospice,community support service,Nursing and residential care facilities,Province of Ontario,"",1107,french settlement road,K0G 1J0,kemptville,Ontario,"",North Grenville,3507065,35,-75.61880098|45.03983249
2644,Bethammi Nursing Home,long-term care home,Nursing and residential care facilities,Province of Ontario,"",63,carrie street,P7A 4J2,thunder bay,Ontario,"",Thunder Bay,3558004,35,-89.24131667|48.44135877
2645,Bethany Care Home of Norwich,retirement home,Nursing and residential care facilities,Province of Ontario,"",35,main street e,N0J 1P0,norwich,Ontario,"",Norwich,3532002,35,-80.59258351|42.98864051
2646,Bethany Lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,"",23,second street,L3R 2C2,markham,Ontario,"",Markham,3519036,35,-79.30139068|43.86204073
2647,Bethell Hospice,community support service,Nursing and residential care facilities,Province of Ontario,"",18,king street e,L7E 1E8,caledon,Ontario,"",Caledon,3521024,35,-79.73758312|43.87985701
2648,Bethsaida Retirement Home Ltd,retirement home,Nursing and residential care facilities,Province of Ontario,"",3,hillside drive,L9W 1P5,orangeville,Ontario,"",Orangeville,3522014,35,-80.10123464|43.915362
2649,Bethseda Home,retirement home,Nursing and residential care facilities,Province of Ontario,"",76,silversted drive,M1S 3A5,toronto,Ontario,"",Toronto,3520005,35,-79.26619476|43.80182762
2650,Better Living at Thompson House,community support service,Nursing and residential care facilities,Province of Ontario,"",1,overland drive,M3C 2C3,toronto,Ontario,"",Toronto,3520005,35,-79.34677178|43.7324901
2652,Bill Mcmurray Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",180,sheridan avenue,M6K 3C7,toronto,Ontario,"",Toronto,3520005,35,-79.4347012|43.65162918
2653,Billings Court Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,"",3700,billings court,L7N 3N6,burlington,Ontario,"",Burlington,3524002,35,-79.78777539|43.36439192
2654,Billings Lodge Retirement Community,retirement home,Nursing and residential care facilities,Province of Ontario,"",1180,belanger avenue,K1H 8A2,ottawa,Ontario,"",Ottawa,3506008,35,-75.67274113|45.38338775
2655,Billingswood Manor,retirement home,Nursing and residential care facilities,Province of Ontario,"",1370,bank street,K1H 8N6,ottawa,Ontario,"",Ottawa,3506008,35,-75.67327503|45.38492745
2659,Birchmere Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",234,bay street,L3V 3W8,orillia,Ontario,"",Orillia,3543052,35,-79.41392188|44.61976735
2660,Birchwood Terrace,long-term care home,Nursing and residential care facilities,Province of Ontario,"",237,lakeview drive,P9N 4J7,kenora,Ontario,"",Kenora,3560010,35,-94.504978|49.76559284
2661,Birdsilver Gardens Senior Support Centre,retirement home,Nursing and residential care facilities,Province of Ontario,"",16,birdsilver gardens,M1C 4M5,toronto,Ontario,"",Toronto,3520005,35,-79.13066792|43.79197732
2662,Birkdale Place Seniors Community,retirement home,Nursing and residential care facilities,Province of Ontario,"",611,farmstead drive,L9T 7Y8,milton,Ontario,"",Milton,3524009,35,-79.86709342|43.50029384
2663,Birmingham Retirement Community,retirement home,Nursing and residential care facilities,Province of Ontario,"",356,birmingham street e,N0G 2L2,mount forest,Ontario,"",Wellington North,3523050,35,-80.73344194|43.98529868
2665,Blackadar Continuing Care Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,"",101,creighton road,L9H 3B7,hamilton,Ontario,"",Hamilton,3525005,35,-79.96830854|43.26120069
2666,Blackadar Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",99,creighton road,L9H 3B7,hamilton,Ontario,"",Hamilton,3525005,35,-79.96827634|43.26134859
2667,Blackburn Senior Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,"",2412,cleroux crescent,K1W 1A3,ottawa,Ontario,"",Ottawa,3506008,35,-75.54856219|45.43604286
2668,Blenheim Community Village,retirement home,Nursing and residential care facilities,Province of Ontario,"",10,mary avenue,N0P 1A0,chatham-kent,Ontario,"",Chatham-Kent,3536020,35,-81.98799919|42.33971663
2671,Bloomington Cove Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,"",13621,ninth line,L4A 3C8,whitchurch-stouffville,Ontario,"",Whitchurch-Stouffville,3519044,35,-79.26290138|44.00278365
2673,Blue Mountain Manor Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",236,weir street,L0M 1S0,stayner,Ontario,"",Clearview,3543005,35,-80.08361758|44.42198169
2675,Blue Water Rest Home,community support service,Nursing and residential care facilities,Province of Ontario,"",37792,zurich-hensall road,N0M 2T0,zurich,Ontario,"",Bluewater,3540010,35,-81.63774028|43.41978964
2683,Bob Rumball Home for the Deaf,long-term care home,Nursing and residential care facilities,Province of Ontario,"",1,royal parkside drive,L4M 0C4,barrie,Ontario,"",Barrie,3543042,35,-79.62310322|44.3641363
2684,Bobier Villa,long-term care home,Nursing and residential care facilities,Province of Ontario,"",1,bobier lane,N0L 1J0,dutton,Ontario,"",Dutton/Dunwich,3534030,35,-81.51387127|42.66709281
2686,Bonnechere Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,"",470,albert street,K7V 4L5,renfrew,Ontario,"",Renfrew,3547048,35,-76.70256458|45.48345932
2687,Bough Beeches Place,retirement home,Nursing and residential care facilities,Province of Ontario,"",1130,bough beeches boulevard,L4W 4G3,mississauga,Ontario,"",Mississauga,3521005,35,-79.60046495|43.62599437
2688,Bowmanville Creek Retirement Community,retirement home,Nursing and residential care facilities,Province of Ontario,"",105,queen street,L1C 0T3,bowmanville,Ontario,"",Clarington,3518017,35,-78.68822688|43.91037416
2691,Bradford Valley Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,"",2656,line 6,L3Z 2A1,bradford west gwillimbury,Ontario,"",Bradford West Gwillimbury,3543014,35,-79.57244678|44.09967975
2692,Bradgate Arms,retirement home,Nursing and residential care facilities,Province of Ontario,"",54,foxbar road,M4V 2G6,toronto,Ontario,"",Toronto,3520005,35,-79.40066839|43.68566339
2694,Braemar Retirement Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,"",719,josephine street n,N0G 2W0,wingham,Ontario,"",Morris-Turnberry,3540050,35,-81.30031372|43.90065854
2701,Bramalea Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",30,peel centre drive,L6T 4G8,brampton,Ontario,"",Brampton,3521010,35,-79.7250052|43.71669058
2708,Brant Community Healthcare System - Willett Hospital Site,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,"",238,grand river st n,N3L 2N7,paris,Ontario,238 grand river st. n. paris on n3l 2n7,Brant,3529005,35,-80.3870839|43.2045736
2712,Brantwood Community Services,mental health,Nursing and residential care facilities,Public Health Agency of Canada,"",25,bell lane,N3T 1E1,brantford,Ontario,25 bell lane brantford on n3t 1e1,Brantford,3529006,35,-80.278928|43.128167
2715,Briarfield Gardens,retirement home,Nursing and residential care facilities,Province of Ontario,"",1250,weber street e,N2A 4E1,kitchener,Ontario,"",Kitchener,3530013,35,-80.4446075|43.4339767
2716,Briargate,retirement home,Nursing and residential care facilities,Province of Ontario,"",4567,bath road,K7N 1A8,amherstview,Ontario,"",Loyalist,3511005,35,-76.65431965|44.21822341
2718,Bridgepoint Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,"",14,st matthews rd,M4M 2B5,toronto,Ontario,14 st. matthews rd. toronto on m4m 2b5,Toronto,3520005,35,-79.355147|43.6658334
2720,Bridlewood Manor,retirement home,Nursing and residential care facilities,Province of Ontario,"",1026,bridlewood drive,K6V 7J8,brockville,Ontario,"",Brockville,3507015,35,-75.70286837|44.61785752
2721,Bridlewood Trails Retirement Community,retirement home,Nursing and residential care facilities,Province of Ontario,"",480,brigitta street,K2S 0K7,ottawa,Ontario,"",Ottawa,3506008,35,-75.86090248|45.27421082
2722,Brierwood Gardens,long-term care home,Nursing and residential care facilities,Province of Ontario,"",425,park road n,N3R 7G5,brantford,Ontario,"",Brantford,3529006,35,-80.24747732|43.17853986
2723,Broadview Nursing Centre,long-term care home,Nursing and residential care facilities,Province of Ontario,"",210,brockville street,K7A 3Z4,smiths falls,Ontario,"",Smiths Falls,3509004,35,-76.0208378|44.88786035
2735,Brooks Landing Retirement Living,retirement home,Nursing and residential care facilities,Province of Ontario,"",6449,perth road,K0H 2L0,perth road,Ontario,"",South Frontenac,3510020,35,-76.48143042|44.48989086
2736,Brookside Court/Hilltop Place,retirement home,Nursing and residential care facilities,Province of Ontario,"",1000,elgin mills road,L4S 1M4,richmond hill,Ontario,"",Richmond Hill,3519038,35,-79.41245401|43.89785833
2737,Brookside Retirement Living,retirement home,Nursing and residential care facilities,Province of Ontario,"",7835,confederation line,N0M 2S0,watford,Ontario,"",Warwick,3538043,35,-81.88315661|42.95519614
2738,Brouillette Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,"",11900,brouillette court,N8N 4X8,windsor,Ontario,"",Tecumseh,3537048,35,-82.8920717|42.3064019
2739,Brucefield Manor Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,"",657,mount pleasant road,N0E 1K0,brant,Ontario,"",Brant,3529005,35,-80.310606|43.08867
2740,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,long-term care home,Nursing and residential care facilities,Province of Ontario,"",41,mcgivern street w,N0G 2V0,walkerton,Ontario,"",Brockton,3541032,35,-81.15427199|44.12121858
2743,BRUYÈRE - HÔPITAL SAINT-VINCENT HOSPITAL,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,"",60,cambridge st n,K1R 7A5,ottawa,Ontario,60 cambridge st. n ottawa on k1r 7a5,Ottawa,3506008,35,-75.708815|45.413491
2750,Buckingham Manor,retirement home,Nursing and residential care facilities,Province of Ontario,"",6257,main street,L4A 4J3,whitchurch-stouffville,Ontario,"",Whitchurch-Stouffville,3519044,35,-79.24840007|43.97081455
2754,Burloak,long-term care home,Nursing and residential care facilities,Province of Ontario,"",5959,new street,L7L 6W5,burlington,Ontario,"",Burlington,3524002,35,-79.73937757|43.38147032
2755,Burnbrae Gardens Long Term Care Residence,long-term care home,Nursing and residential care facilities,Province of Ontario,"",320,6 line e,K0L 1L0,campbellford,Ontario,"",Trent Hills,3514045,35,-77.84842135|44.28480207
2756,Burton Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,"",5,sterritt drive,L6Y 5P3,brampton,Ontario,"",Brampton,3521010,35,-79.77341911|43.66143557
2757,Butternut Manor,retirement home,Nursing and residential care facilities,Province of Ontario,"",3,norm goodspeed drive,L9P 0B7,uxbridge,Ontario,"",Uxbridge,3518029,35,-79.13997995|44.10422028
2764,Cama Woodlands Nursing Home,long-term care home,Nursing and residential care facilities,Province of Ontario,"",159,panin road,L7P 5A6,burlington,Ontario,"",Burlington,3524002,35,-79.86719201|43.3099325
2765,Cambridge Country Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,"",3680,speedsville road,N3H 4R6,cambridge,Ontario,"",Cambridge,3530010,35,-80.3577529|43.4552726
2768,Camilla Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,"",2250,hurontario street,L5B 1M8,mississauga,Ontario,"",Mississauga,3521005,35,-79.60700205|43.57311436
2769,Camilla Gardens Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,"",1119,bathgate drive,K1J 9N4,ottawa,Ontario,"",Ottawa,3506008,35,-75.61778811|45.43271076
2772,Campbellford Memorial Multicare Lodge,community support service,Nursing and residential care facilities,Province of Ontario,"",174,oliver road,K0L 1L0,campbellford,Ontario,"",Trent Hills,3514045,35,-77.78917393|44.31344677
2830,Canes Community Care,senior active living centre,Nursing and residential care facilities,Province of Ontario,"",135,queens plate drive,M9W 6V1,toronto,Ontario,"",Toronto,3520005,35,-79.59203906|43.71686989
2832,Canterbury Gardens Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",1414,sherbrooke street,K9J 0B1,peterborough,Ontario,"",Peterborough,3515014,35,-78.36061941|44.29289414
2833,Canterbury Place Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",1,canterbury place,M2N 0G7,toronto,Ontario,"",Toronto,3520005,35,-79.4144039|43.772131
2836,Cardinal Place,retirement home,Nursing and residential care facilities,Province of Ontario,"",3140,peter street,N9C 1H3,windsor,Ontario,"",Windsor,3537039,35,-83.07384972|42.30303187
2842,Carefirst Transitional Care Centre,retirement home,Nursing and residential care facilities,Province of Ontario,"",300,silver star boulevard,M1V 5P1,toronto,Ontario,"",Toronto,3520005,35,-79.29492787|43.81258112
2843,Carefor Civic Complex,retirement home,Nursing and residential care facilities,Province of Ontario,"",425,cecelia street,K8A 1S7,pembroke,Ontario,"",Pembroke,3547064,35,-77.10212074|45.82141926
2847,Carefor Mackay Centre,retirement home,Nursing and residential care facilities,Province of Ontario,"",700,mackay street,K8A 1G6,pembroke,Ontario,"",Pembroke,3547064,35,-77.10918694|45.81513586
2848,Carefree Lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,"",306,finch avenue e,M2N 4S5,toronto,Ontario,"",Toronto,3520005,35,-79.3941154|43.78501831
2849,Caressant Care - Arthur,retirement home,Nursing and residential care facilities,Province of Ontario,"",215,eliza street,N0G 1A0,arthur,Ontario,"",Wellington North,3523050,35,-80.53012776|43.83174956
2850,Caressant Care - Cobden,retirement home,Nursing and residential care facilities,Province of Ontario,"",12,wren drive,K0J 1K0,cobden,Ontario,"",Whitewater Region,3547056,35,-76.88767295|45.62876664
2851,Caressant Care - Fergus,retirement home,Nursing and residential care facilities,Province of Ontario,"",450,queen street e,N1M 2Y7,fergus,Ontario,"",Centre Wellington,3523025,35,-80.3698587|43.70904655
2852,Caressant Care - Harriston,retirement home,Nursing and residential care facilities,Province of Ontario,"",24,louise street,N0G 1Z0,minto,Ontario,"",Minto,3523043,35,-80.87806388|43.91461596
2853,Caressant Care - Lindsay,retirement home,Nursing and residential care facilities,Province of Ontario,"",240,mary street w,K9V 5K5,kawartha lakes,Ontario,"",Kawartha Lakes,3516010,35,-78.75034644|44.34327843
2854,Caressant Care - Listowel,retirement home,Nursing and residential care facilities,Province of Ontario,"",710,reserve avenue s,N4W 3H4,listowel,Ontario,"",North Perth,3531040,35,-80.95335159|43.72273922
2855,Caressant Care - Woodstock,retirement home,Nursing and residential care facilities,Province of Ontario,"",81,fyfe avenue,N4S 8Y2,woodstock,Ontario,"",Woodstock,3532042,35,-80.74298547|43.12334673
2857,Caressant Care Bourget,long-term care home,Nursing and residential care facilities,Province of Ontario,"",2279,laval road,K0A 1E0,clarence-rockland,Ontario,"",Clarence-Rockland,3502036,35,-75.15507656|45.43608988
2858,Caressant Care Courtland,long-term care home,Nursing and residential care facilities,Province of Ontario,"",4850,highway 59,N0J 1E0,courtland,Ontario,"",Norfolk County,3528052,35,-80.63239781|42.83110128
2862,Caressant Care Marmora,long-term care home,Nursing and residential care facilities,Province of Ontario,"",58,bursthall street,K0K 2M0,marmora,Ontario,"",Marmora and Lake,3512046,35,-77.67733231|44.48072361
2878,Caressant Care on Bonnie Place,long-term care home,Nursing and residential care facilities,Province of Ontario,"",15,bonnie place,N5R 5T8,saint thomas,Ontario,"",St. Thomas,3534021,35,-81.16165267|42.77305945
2879,Caressant Care on Mary Bucke,long-term care home,Nursing and residential care facilities,Province of Ontario,"",4,mary bucke street,N5R 5J6,saint thomas,Ontario,"",St. Thomas,3534021,35,-81.16897487|42.76681534
2880,Caressant Care on Mclaughlin Road,long-term care home,Nursing and residential care facilities,Province of Ontario,"",114,mclaughlin road,K9V 6L1,kawartha lakes,Ontario,"",Kawartha Lakes,3516010,35,-78.7610205|44.3447647
2882,Caritas School of Life,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,"",241,hanlan road,L4L 3R7,vaughan,Ontario,"",Vaughan,3519028,35,-79.55938155|43.7693971
2884,Carleton Lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,"",55,lodge road,K2C 3H1,ottawa,Ontario,"",Ottawa,3506008,35,-75.70705903|45.26559733
2886,Carleton Place Terrace by Symphony,retirement home,Nursing and residential care facilities,Province of Ontario,"",6,arthur street,K7C 4S4,carleton place,Ontario,"",Carleton Place,3509028,35,-76.13744376|45.13261569
2889,Carlingview Manor,long-term care home,Nursing and residential care facilities,Province of Ontario,"",2330,carling avenue,K2B 7H1,ottawa,Ontario,"",Ottawa,3506008,35,-75.77672586|45.36711344
2890,Carlingwood Retirement Community,retirement home,Nursing and residential care facilities,Province of Ontario,"",200,lockhart avenue,K2A 4C6,ottawa,Ontario,"",Ottawa,3506008,35,-75.77213836|45.37561924
2891,Carolina Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",12,alma street,K7H 2R7,perth,Ontario,"",Perth,3509021,35,-76.25803618|44.89897964
2893,Caroline Place Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",118,market street,L8R 3P9,hamilton,Ontario,"",Hamilton,3525005,35,-79.87474961|43.25974649
2894,Carriage House Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",1530,county road 10,K0K 1P0,cherry valley,Ontario,"",Prince Edward County,3513020,35,-77.15044049|43.94315634
2895,Carrington Place Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",75,dunham drive,L9G 1X7,hamilton,Ontario,"",Hamilton,3525005,35,-79.99126034|43.21614158
2896,Carveth Care Centre,retirement home,Nursing and residential care facilities,Province of Ontario,"",375,james street,K7G 2Z1,gananoque,Ontario,"",Gananoque,3507024,35,-76.1592067|44.33633895
2897,Casa Dolce Casa,retirement home,Nursing and residential care facilities,Province of Ontario,"",7890,pine valley drive,L4L 2J3,vaughan,Ontario,"",Vaughan,3519028,35,-79.57491686|43.7876026
2898,Case Manor Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,"",28,boyd street,K0M 1A0,kawartha lakes,Ontario,"",Kawartha Lakes,3516010,35,-78.54103519|44.54008478
2900,Cassellholme,long-term care home,Nursing and residential care facilities,Province of Ontario,"",400,olive street,P1B 6J4,north bay,Ontario,"",North Bay,3548044,35,-79.44608166|46.31926603
2902,Castle Peak Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",56,douglas drive,P1L 0B9,bracebridge,Ontario,"",Bracebridge,3544018,35,-79.32255439|45.06571433
2903,Castleview Wychwood Towers,long-term care home,Nursing and residential care facilities,Province of Ontario,"",351,christie street,M6G 3C3,toronto,Ontario,"",Toronto,3520005,35,-79.4217856|43.67317759
2904,Cathmar Manor,retirement home,Nursing and residential care facilities,Province of Ontario,"",236,catherine street n,L8L 4S6,hamilton,Ontario,"",Hamilton,3525005,35,-79.8620852|43.26228939
2907,Cavendish Manor Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",5781,dunn street,L2G 2N9,niagara falls,Ontario,"",Niagara Falls,3526043,35,-79.08873644|43.0794347
2908,Cawthra Gardens,long-term care home,Nursing and residential care facilities,Province of Ontario,"",590,lolita gardens,L5A 4N8,mississauga,Ontario,"",Mississauga,3521005,35,-79.60362445|43.59302306
2912,Cedar Crossing Retirement Community,retirement home,Nursing and residential care facilities,Province of Ontario,"",395,cedar street,N3Y 2N3,simcoe,Ontario,"",Norfolk County,3528052,35,-80.32018271|42.8420917
2913,Cedarbrook Lodge Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",520,markham road,M1H 3A1,toronto,Ontario,"",Toronto,3520005,35,-79.22486164|43.75474181
2914,Cedarcroft Place,retirement home,Nursing and residential care facilities,Province of Ontario,"",649,king street e,L1H 8P9,oshawa,Ontario,"",Oshawa,3518013,35,-78.83985223|43.90261095
2915,Cedarcroft Stratford Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,"",260,church street,N5A 2R6,stratford,Ontario,"",Stratford,3531011,35,-80.99038977|43.36494076
2916,Cedarhurst Dementia Care Home,retirement home,Nursing and residential care facilities,Province of Ontario,"",2601,bayview avenue,M2L 1B5,toronto,Ontario,"",Toronto,3520005,35,-79.38443889|43.7514172
2917,Cedarvale Lodge Retirement and Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,"",121,morton avenue,L4P 2M5,georgina,Ontario,"",Georgina,3519070,35,-79.456847|44.232338
