province,HA,CMA,CSD,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711063 - Dundurn,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711061 - Dundurn No. 314,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711067 - Langham,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711070 - Martensville,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711078 - Meacham,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711075 - Osler,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711066 - Saskatoon,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711064 - Shields,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711060 - Thode,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4712058 - Vanscoy,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4712054 - Vanscoy No. 345,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711068 - Warman,
Saskatchewan,Saskatoon Regional Health Authority,725 - Saskatoon,4711828 - Whitecap,
,,,,
Quebec,Region de l’Estrie,433 - Sherbrooke,2441055 - Ascot Corner,
Quebec,Region de l’Estrie,433 - Sherbrooke,2444071 - Compton,
Quebec,Region de l’Estrie,433 - Sherbrooke,2445055 - Hatley,
Quebec,Region de l’Estrie,433 - Sherbrooke,2445072 - Magog,
Quebec,Region de l’Estrie,433 - Sherbrooke,2445050 - North Hatley,
Quebec,Region de l’Estrie,433 - Sherbrooke,2445115 - Orford,
Quebec,Region de l’Estrie,433 - Sherbrooke,2442025 - Saint-Denis-de-Brompton,
Quebec,Region de l’Estrie,433 - Sherbrooke,2443027 - Sherbrooke,
Quebec,Region de l’Estrie,433 - Sherbrooke,2442005 - Stoke,
Quebec,Region de l’Estrie,433 - Sherbrooke,2442095 - Val-Joli,
Quebec,Region de l’Estrie,433 - Sherbrooke,2444080 - Waterville,
,,,,
Ontario,Niagara Regional Area Health Unit,539 - St. Catharines--Niagara,3526003 - Fort Erie,
Ontario,Niagara Regional Area Health Unit,539 - St. Catharines--Niagara,3526057 - Lincoln,
Ontario,Niagara Regional Area Health Unit,539 - St. Catharines--Niagara,3526043 - Niagara Falls,
Ontario,Niagara Regional Area Health Unit,539 - St. Catharines--Niagara,3526047 - Niagara-on-the-Lake,
Ontario,Niagara Regional Area Health Unit,539 - St. Catharines--Niagara,3526028 - Pelham,
Ontario,Niagara Regional Area Health Unit,539 - St. Catharines--Niagara,3526011 - Port Colborne,
Ontario,Niagara Regional Area Health Unit,539 - St. Catharines--Niagara,3526053 - St. Catharines,
Ontario,Niagara Regional Area Health Unit,539 - St. Catharines--Niagara,3526037 - Thorold,
Ontario,Niagara Regional Area Health Unit,539 - St. Catharines--Niagara,3526014 - Wainfleet,
Ontario,Niagara Regional Area Health Unit,539 - St. Catharines--Niagara,3526032 - Welland,
,,,,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001512 - Bauline,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001557 - Bay Bulls,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001485 - Conception Bay South,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001507 - Flatrock,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001511 - Logy Bay-Middle Cove-Outer Cove,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001542 - Mount Pearl,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001517 - Paradise,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001551 - Petty Harbour-Maddox Cove,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001504 - Portugal Cove-St. Philip's,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001505 - Pouch Cove,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001519 - St. John's,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001509 - Torbay,
Newfoundland and Labrador,Eastern Regional Integrated Health Authority,001 - St. John's,1001559 - Witless Bay,
,,,,
Ontario,Thunder Bay District Health Unit,595 - Thunder Bay,3558019 - Conmee,
Ontario,Thunder Bay District Health Unit,595 - Thunder Bay,3558003 - Fort William 52,
Ontario,Thunder Bay District Health Unit,595 - Thunder Bay,3558012 - Gillies,
Ontario,Thunder Bay District Health Unit,595 - Thunder Bay,3558001 - Neebing,
Ontario,Thunder Bay District Health Unit,595 - Thunder Bay,3558016 - O'Connor,
Ontario,Thunder Bay District Health Unit,595 - Thunder Bay,3558011 - Oliver Paipoonge,
Ontario,Thunder Bay District Health Unit,595 - Thunder Bay,3558028 - Shuniah,
Ontario,Thunder Bay District Health Unit,595 - Thunder Bay,3558004 - Thunder Bay,
,,,,
Ontario,Durham Regional Health Unit,535 - Toronto,3518005 - Ajax,
Ontario,York Regional Health Unit,535 - Toronto,3519046 - Aurora,
Ontario,Simcoe Muskoka District Health Unit,535 - Toronto,3543014 - Bradford West Gwillimbury,
Ontario,Peel Regional Health Unit,535 - Toronto,3521010 - Brampton,
Ontario,Peel Regional Health Unit,535 - Toronto,3521024 - Caledon,
Ontario,York Regional Health Unit,535 - Toronto,3519076 - Chippewas of Georgina Island First Nation,
Ontario,York Regional Health Unit,535 - Toronto,3519054 - East Gwillimbury,
Ontario,York Regional Health Unit,535 - Toronto,3519070 - Georgina,
Ontario,Halton,  peel,535 - Toronto,3524015 - Halton Hills
Ontario,York Regional Health Unit,535 - Toronto,3519049 - King,
Ontario,York Regional Health Unit,535 - Toronto,3519036 - Markham,
Ontario,Halton Regional Health Unit,535 - Toronto,3524009 - Milton,
Ontario,Peel Regional Health Unit,535 - Toronto,3521005 - Mississauga,
Ontario,Wellington-Dufferin-Guelph Health Unit,535 - Toronto,3522012 - Mono,
Ontario,Simcoe Muskoka District Health Unit,535 - Toronto,3543007 - New Tecumseth,
Ontario,York Regional Health Unit,535 - Toronto,3519048 - Newmarket,
Ontario,Halton Regional Health Unit,535 - Toronto,3524001 - Oakville,
Ontario,Wellington-Dufferin-Guelph Health Unit,535 - Toronto,3522014 - Orangeville,
Ontario,Durham Regional Health Unit,535 - Toronto,3518001 - Pickering,
Ontario,York Regional Health Unit,535 - Toronto,3519038 - Richmond Hill,
Ontario,City of Toronto Health Unit,535 - Toronto,3520005 - Toronto,
Ontario,Durham Regional Health Unit,535 - Toronto,3518029 - Uxbridge,
Ontario,York Regional Health Unit,535 - Toronto,3519028 - Vaughan,
Ontario,York Regional Health Unit, ,3519044 - Whitchurch-Stouffville,
,,,,
Quebec,Region de la Mauricie ey du Centre-du-Quebec,442 - Trois-Rivières,2438010 - Bécancour,
Quebec,Region de la Mauricie ey du Centre-du-Quebec,442 - Trois-Rivières,2437220 - Champlain,
Quebec,Region de la Mauricie ey du Centre-du-Quebec,442 - Trois-Rivières,2437225 - Saint-Luc-de-Vincennes,
Quebec,Region de la Mauricie ey du Centre-du-Quebec,442 - Trois-Rivières,2437230 - Saint-Maurice,
Quebec,Region de la Mauricie ey du Centre-du-Quebec,442 - Trois-Rivières,2437067 - Trois-Rivières,
Quebec,Region de la Mauricie ey du Centre-du-Quebec,442 - Trois-Rivières,2438802 - Wôlinak,
Quebec,Region de la Mauricie ey du Centre-du-Quebec,442 - Trois-Rivières,2451020 - Yamachiche,
,,,,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915038 - Anmore,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915809 - Barnston Island 3,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915036 - Belcarra,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,933 - Vancouver,5915062 - Bowen Island,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915025 - Burnaby,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,933 - Vancouver,5915806 - Burrard Inlet 3,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,933 - Vancouver,5915808 - Capilano 5,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915034 - Coquitlam,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915805 - Coquitlam 1,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915804 - Coquitlam 2,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915011 - Delta,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915020 - Greater Vancouver A,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915020 - Greater Vancouver A,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,933 - Vancouver,5915020 - Greater Vancouver A,
British Columbia,Vancouver Health Service Delivery Area,933 - Vancouver,5915020 - Greater Vancouver A,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915830 - Katzie 1,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915813 - Katzie 2,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915001 - Langley,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915002 - Langley,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915835 - Langley 5,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,933 - Vancouver,5915065 - Lions Bay,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915075 - Maple Ridge,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915825 - Matsqui 4,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915816 - McMillan Island 6,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,933 - Vancouver,5915807 - Mission 1,
British Columbia,Vancouver Health Service Delivery Area,933 - Vancouver,5915803 - Musqueam 2,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915810 - Musqueam 4,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915029 - New Westminster,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,933 - Vancouver,5915046 - North Vancouver,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,933 - Vancouver,5915051 - North Vancouver,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915070 - Pitt Meadows,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915039 - Port Coquitlam,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915043 - Port Moody,
British Columbia,Richmond Health Service Delivery Area,933 - Vancouver,5915015 - Richmond,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915801 - Semiahmoo,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,933 - Vancouver,5915811 - Seymour Creek 2,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915004 - Surrey,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915802 - Tsawwassen,
British Columbia,Vancouver Health Service Delivery Area,933 - Vancouver,5915022 - Vancouver,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,933 - Vancouver,5915055 - West Vancouver,
British Columbia,Fraser South Health Service Delivery Area,933 - Vancouver,5915007 - White Rock,
British Columbia,Fraser North Health Service Delivery Area,933 - Vancouver,5915840 - Whonnock 1,
,,,,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917809 - Becher Bay 1,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917054 - Juan de Fuca (Part 1),
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917015 - Central Saanich,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917801 - Cole Bay 3,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917041 - Colwood,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917803 - East Saanich 2,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917040 - Esquimalt,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917811 - Esquimalt,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917049 - Highlands,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917044 - Langford,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917042 - Metchosin,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917812 - New Songhees 1A,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917005 - North Saanich,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917030 - Oak Bay,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917021 - Saanich,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917010 - Sidney,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917052 - Sooke,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917804 - South Saanich 1,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917819 - T'Sou-ke,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917802 - Union Bay 4,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917034 - Victoria,
British Columbia,South Vancouver Island Health Service Delivery Area,935 - Victoria,5917047 - View Royal,
,,,,
Ontario,Windsor-Essex County Health Unit,559 - Windsor,3537028 - Amherstburg,
Ontario,Windsor-Essex County Health Unit,559 - Windsor,3537064 - Lakeshore,
Ontario,Windsor-Essex County Health Unit,559 - Windsor,3537034 - LaSalle,
Ontario,Windsor-Essex County Health Unit,559 - Windsor,3537048 - Tecumseh,
Ontario,Windsor-Essex County Health Unit,559 - Windsor,3537039 - Windsor,
,,,,
Manitoba,Interlake-Eastern Regional Health Authority,602 - Winnipeg,4613062 - Brokenhead 4,
Manitoba,Winnipeg Regional Health Authority,602 - Winnipeg,4613032 - East St. Paul,
Manitoba,Southern Health,602 - Winnipeg,4611042 - Headingley,
Manitoba,Southern Health,602 - Winnipeg,4610035 - Macdonald,
Manitoba,Southern Health,602 - Winnipeg,4602075 - Ritchot,
Manitoba,Interlake-Eastern Regional Health Authority,602 - Winnipeg,4614015 - Rosser,
Manitoba,Interlake-Eastern Regional Health Authority,602 - Winnipeg,4612047 - Springfield,
Manitoba,Interlake-Eastern Regional Health Authority,602 - Winnipeg,4613056 - St. Clements,
Manitoba,Southern Health,602 - Winnipeg,4610052 - St. François Xavier,
Manitoba,Southern Health,602 - Winnipeg,4602069 - Taché,
Manitoba,Winnipeg Regional Health Authority,602 - Winnipeg,4613037 - West St. Paul,
Manitoba,Interlake-Eastern Regional Health Authority,602 - Winnipeg,4611040 - Winnipeg,
