province,HA,CA,CSD,
Ontario,Renfrew County and District Health Unit,516 - Petawawa,3547076 - Petawawa,
,,,,
British Columbia,Central Vancouver Island Health Service Selivery Area,940 - Port Alberni,5923801 - Ahahswinis 1,
British Columbia,Central Vancouver Island Health Service Selivery Area,940 - Port Alberni,5923802 - Alberni 2,
British Columbia,Central Vancouver Island Health Service Selivery Area,940 - Port Alberni,5923033 - Alberni-Clayoquot B,
British Columbia,Central Vancouver Island Health Service Selivery Area,940 - Port Alberni,5923035 - Alberni-Clayoquot D,
British Columbia,Central Vancouver Island Health Service Selivery Area,940 - Port Alberni,5923037 - Alberni-Clayoquot E,
British Columbia,Central Vancouver Island Health Service Selivery Area,940 - Port Alberni,5923039 - Alberni-Clayoquot F,
British Columbia,Central Vancouver Island Health Service Selivery Area,940 - Port Alberni,5923822 - Klehkoot 2,
British Columbia,Central Vancouver Island Health Service Selivery Area,940 - Port Alberni,5923008 - Port Alberni,
British Columbia,Central Vancouver Island Health Service Selivery Area,940 - Port Alberni,5923816 - Tsahaheh 1,
,,,,
Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit",528 - Port Hope,3514020 - Port Hope,
,,,,
Manitoba,Southern Health,607 - Portage la Prairie,4609029 - Portage la Prairie,
,,,,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,945 - Powell River,5927008 - Powell River,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,945 - Powell River,5927012 - Powell River B,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,945 - Powell River,5927016 - Powell River C,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,945 - Powell River,5927806 - Sechelt (Part),
,,,,
Saskatchewan,Prince Albert Parkland Regional Health Authority,745 - Prince Albert,4715085 - Albertville,
Saskatchewan,Prince Albert Parkland Regional Health Authority,745 - Prince Albert,4715094 - Buckland No. 491,
Saskatchewan,Prince Albert Parkland Regional Health Authority,745 - Prince Albert,4715079 - Garden River No. 490,
Saskatchewan,Prince Albert Parkland Regional Health Authority,745 - Prince Albert,4715092 - Meath Park,
Saskatchewan,Prince Albert Parkland Regional Health Authority,745 - Prince Albert,4715066 - Prince Albert,
Saskatchewan,Prince Albert Parkland Regional Health Authority,745 - Prince Albert,4715064 - Prince Albert No. 461,
Saskatchewan,Prince Albert Parkland Regional Health Authority,745 - Prince Albert,4715848 - Wahpaton 94A,
,,,,
British Columbia,Northern Interior Health Service Delivery Area,970 - Prince George,5953801 - Fort George (Shelley) 2,
British Columbia,Northern Interior Health Service Delivery Area,970 - Prince George,5953038 - Fraser-Fort George A,
British Columbia,Northern Interior Health Service Delivery Area,970 - Prince George,5953042 - Fraser-Fort George C,
British Columbia,Northern Interior Health Service Delivery Area,970 - Prince George,5953044 - Fraser-Fort George D,
British Columbia,Northern Interior Health Service Delivery Area,970 - Prince George,5953048 - Fraser-Fort George F,
British Columbia,Northern Interior Health Service Delivery Area,970 - Prince George,5953023 - Prince George,
,,,,
British Columbia,Northwest Health Service Delivery Area,955 - Prince Rupert,5947007 - Port Edward,
,,955 - Prince Rupert,5947012 - Prince Rupert,
,,,,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941882 - Alexandria,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941881 - Baezaeko River 27,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941019 - Cariboo A,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941021 - Cariboo B,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941026 - Cariboo C,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941027 - Cariboo I,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941835 - Coglistiko River 29,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941866 - Euchinico Creek 17,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941833 - Kluskus 1,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941837 - Nazco 20,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941013 - Quesnel,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941809 - Quesnel 1,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941864 - Sundayman's Meadow 3,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941852 - Trout Lake Alec 16,
British Columbia,Northern Interior Health Service Delivery Area,952 - Quesnel,5941025 - Wells,
,,,,
Alberta,Central Zone,830 - Red Deer,4808011 - Red Deer,
,,,,
Quebec,Region du Bas-Saint-Laurent,404 - Rimouski,2410043 - Rimouski,
Quebec,Region du Bas-Saint-Laurent,404 - Rimouski,2410030 - Saint-Anaclet-de-Lessard,
Quebec,Region du Bas-Saint-Laurent,404 - Rimouski,2410070 - Saint-Fabien,
Quebec,Region du Bas-Saint-Laurent,404 - Rimouski,2410015 - Saint-Narcisse-de-Rimouski,
Quebec,Region du Bas-Saint-Laurent,404 - Rimouski,2410060 - Saint-Valérien,
,,,,
Quebec,Region du Bas-Saint-Laurent,405 - Rivière-du-Loup,2412057 - Cacouna,
Quebec,Region du Bas-Saint-Laurent,405 - Rivière-du-Loup,2412080 - Notre-Dame-du-Portage,
Quebec,Region du Bas-Saint-Laurent,405 - Rivière-du-Loup,2412072 - Rivière-du-Loup,
Quebec,Region du Bas-Saint-Laurent,405 - Rivière-du-Loup,2412015 - Saint-Antonin,
Quebec,Region du Bas-Saint-Laurent,405 - Rivière-du-Loup,2412065 - Saint-Arsène,
Quebec,Region du Bas-Saint-Laurent,405 - Rivière-du-Loup,2412020 - Saint-Modeste,
,,,,
Quebec,Region de l’Abitibi-Temiscamingue,485 - Rouyn-Noranda,2486042 - Rouyn-Noranda,
,,,,
Quebec,Region de la Chaudiere-Appalaches,423 - Sainte-Marie,2426030 - Sainte-Marie,
,,,,
Quebec,Region de la Chaudiere-Appalaches,428 - Saint-Georges,2429073 - Saint-Georges,
,,,,
Quebec,Region de la Monteregie,452 - Saint-Hyacinthe,2454060 - Saint-Dominique,
Quebec,Region de la Monteregie,452 - Saint-Hyacinthe,2454048 - Saint-Hyacinthe,
Quebec,Region de la Monteregie,452 - Saint-Hyacinthe,2454090 - Saint-Simon,
,,,,
Quebec,Region de la Monteregie,465 - Salaberry-de-Valleyfield,2470052 - Salaberry-de-Valleyfield,
,,,,
British Columbia,Thompson/Cariboo Health Service Delivery Area,920 - Salmon Arm,5939032 - Salmon Arm,
British Columbia,Thompson/Cariboo Health Service Delivery Area,920 - Salmon Arm,5939811 - Switsemalph,
British Columbia,Thompson/Cariboo Health Service Delivery Area,920 - Salmon Arm,5939808 - Switsemalph 3,
,,,,
Ontario,Lambton Health Unit,562 - Sarnia,3538035 - Plympton-Wyoming,
Ontario,Lambton Health Unit,562 - Sarnia,3538031 - Point Edward,
Ontario,Lambton Health Unit,562 - Sarnia,3538030 - Sarnia,
Ontario,Lambton Health Unit,562 - Sarnia,3538025 - Sarnia 45,
Ontario,Lambton Health Unit,562 - Sarnia,3538003 - St. Clair,
,,,,
Ontario,District of Algoma Health Unit,590 - Sault Ste. Marie,3557074 - Garden River 14,
Ontario,District of Algoma Health Unit,590 - Sault Ste. Marie,3557011 - Laird,
Ontario,District of Algoma Health Unit,590 - Sault Ste. Marie,"3557051 - Macdonald, Meredith and Aberdeen Additional",
Ontario,District of Algoma Health Unit,590 - Sault Ste. Marie,3557066 - Prince,
Ontario,District of Algoma Health Unit,590 - Sault Ste. Marie,3557075 - Rankin Location 15D,
Ontario,District of Algoma Health Unit,590 - Sault Ste. Marie,3557061 - Sault Ste. Marie,
,,,,
Quebec,Region de la Cote-Nord,412 - Sept-Îles,2497804 - Maliotenam,
Quebec,Region de la Cote-Nord,412 - Sept-Îles,2497007 - Sept-Îles,
Quebec,Region de la Cote-Nord,412 - Sept-Îles,2497802 - Uashat,
,,,,
Quebec,Region de la Mauricie et du Centre-du-Quebec,444 - Shawinigan,2451085 - Saint-Boniface,
Quebec,Region de la Mauricie et du Centre-du-Quebec,444 - Shawinigan,2436033 - Shawinigan,
,,,,
Quebec,Region de la Monteregie,454 - Sorel-Tracy,2453065 - Sainte-Anne-de-Sorel,
Quebec,Region de la Monteregie,454 - Sorel-Tracy,2453025 - Sainte-Victoire-de-Sorel,
Quebec,Region de la Monteregie,454 - Sorel-Tracy,2453050 - Saint-Joseph-de-Sorel,
Quebec,Region de la Monteregie,454 - Sorel-Tracy,2453052 - Sorel-Tracy,
,,,,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,934 - Squamish,5931802 - Kowtain 17,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,934 - Squamish,5931806 - Seaichem 16,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,934 - Squamish,5931006 - Squamish,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,934 - Squamish,5931807 - Stawamus 24,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,934 - Squamish,5931808 - Waiwakum 14,
British Columbia,North Shore/Coast Garibaldi Health Service Delivery Area,934 - Squamish,5931809 - Yekwaupsum 18,
,,,,
Manitoba,Southhern Health,605 - Steinbach,4602044 - Steinbach,
,,,,
Ontario,Perth District Health Unit,553 - Stratford,3531011 - Stratford,
,,,,
Alberta,Calgary Zone,826 - Strathmore,4805018 - Strathmore,
,,,,
Prince Edward Island,Prince Edward Island,110 - Summerside,1103023 - Linkletter,
Prince Edward Island,Prince Edward Island,110 - Summerside,1103019 - Lot 17,
Prince Edward Island,Prince Edward Island,110 - Summerside,1103024 - Miscouche,
Prince Edward Island,Prince Edward Island,110 - Summerside,1103025 - Summerside,
,,,,
Saskatchewan,Cypress Regional Health Authority,720 - Swift Current,4708004 - Swift Current,
Saskatchewan,Cypress Regional Health Authority,720 - Swift Current,4708001 - Swift Current No. 137,
,,,,
Alberta,Central Zone,831 - Sylvan Lake,4808005 - Jarvis Bay,
Alberta,Central Zone,831 - Sylvan Lake,4808013 - Norglenwold,
Alberta,Central Zone,831 - Sylvan Lake,4808012 - Sylvan Lake,
,,,,
British Columbia,Northwest Health Service Delivery Area,965 - Terrace,5949018 - Kitimat-Stikine E,
British Columbia,Northwest Health Service Delivery Area,965 - Terrace,5949807 - Kulspai 6,
British Columbia,Northwest Health Service Delivery Area,965 - Terrace,5949011 - Terrace,
,,,,
Quebec,Region de la Chaudiere-Appalaches,430 - Thetford Mines,2431040 - Irlande,
Quebec,Region de la Chaudiere-Appalaches,430 - Thetford Mines,2431095 - Saint-Adrien-d'Irlande,
Quebec,Region de la Chaudiere-Appalaches,430 - Thetford Mines,2431045 - Saint-Joseph-de-Coleraine,
Quebec,Region de la Chaudiere-Appalaches,430 - Thetford Mines,2431084 - Thetford Mines,
,,,,
Manitoba,Northern Regional Health Authority,640 - Thompson,4622026 - Thompson,
,,,,
Ontario,Oxford County Health Unit,546 - Tillsonburg,3532004 - Tillsonburg,
,,,,
Ontario,Porcupine Helath Unit,586 - Timmins,3556027 - Timmins,
,,,,
Nova Scotia,Zone 2 – Northern,215 - Truro,"1210008 - Colchester, Subd. B",
Nova Scotia,Zone 2 – Northern,215 - Truro,"1210001 - Colchester, Subd. C",
Nova Scotia,Zone 2 – Northern,215 - Truro,1210003 - Millbrook 27,
Nova Scotia,Zone 2 – Northern,215 - Truro,1210006 - Truro,
,,,,
Quebec ,Region de l’Abitibi-Temiscamingue,480 - Val-d'Or,2489804 - Lac-Simon,
Quebec ,Region de l’Abitibi-Temiscamingue,480 - Val-d'Or,2489008 - Val-d'Or,
,,,,
British Columbia,Okanagan Health Service Delivery Area,918 - Vernon,5937010 - Coldstream,
British Columbia,Okanagan Health Service Delivery Area,918 - Vernon,5937017 - North Okanagan B,
British Columbia,Okanagan Health Service Delivery Area,918 - Vernon,5937021 - North Okanagan C,
British Columbia,Okanagan Health Service Delivery Area,918 - Vernon,5937801 - Okanagan (Part) 1,
British Columbia,Okanagan Health Service Delivery Area,918 - Vernon,5937803 - Priest's Valley 6,
British Columbia,Okanagan Health Service Delivery Area,918 - Vernon,5937014 - Vernon,
,,,,
Quebec,Region de la Mauricie et du Centre-du-Quebec,440 - Victoriaville,2439060 - Saint-Christophe-d'Arthabaska,
Quebec,Region de la Mauricie et du Centre-du-Quebec,440 - Victoriaville,2439062 - Victoriaville,
,,,,
Ontario,Simcoe Muskoka District Health Unit,565 - Wasaga Beach,3543064 - Wasaga Beach,
,,,,
Alberta,Central Zone,865 - Wetaskiwin,4811002 - Wetaskiwin,
,,,,
Saskatchewan,Sun Country Regional health Authority,755 - Weyburn,4702047 - Weyburn,
,,,,
Yukon,Yukon,990 - Whitehorse,6001055 - Ibex Valley,
Yukon,Yukon,990 - Whitehorse,6001010 - Lake Laberge 1,
Yukon,Yukon,990 - Whitehorse,6001059 - Macpherson-Grizzly Valley,
Yukon,Yukon,990 - Whitehorse,6001058 - Marsh Lake,
Yukon,Yukon,990 - Whitehorse,6001044 - Mt. Lorne,
Yukon,Yukon,990 - Whitehorse,6001009 - Whitehorse,
Yukon,Yukon,990 - Whitehorse,"6001060 - Whitehorse, Unorganized",
,,,,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941801 - Alkali Lake 1,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941873 - Alkali Lake 4A,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941010 - Cariboo D,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941012 - Cariboo E,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941806 - Dog Creek 1,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941807 - Dog Creek 2,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941811 - Johny Sticks 2,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941885 - Little Springs,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941868 - Sandy Harry 4,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941810 - Soda Creek 1,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941872 - Swan Lake 3,
British Columbia,Thompson/Cariboo Health Service Delivery Area,950 - Williams Lake,5941009 - Williams Lake,
,,,,
British Columbia,Northern Interior Health Service Delivery Area,950 - Williams Lake,5941010 - Cariboo D,
British Columbia,Northern Interior Health Service Delivery Area,950 - Williams Lake,5941810 - Soda Creek 1,
,,,,
Manitoba,Southern Health,603 - Winkler,4603053 - Morden,
Manitoba,Southern Health,603 - Winkler,4603047 - Stanley,
Manitoba,Southern Health,603 - Winkler,4603050 - Winkler,
,,,,
Alberta,North Zone,860 - Wood Buffalo,4816850 - Allison Bay 219,
Alberta,North Zone,860 - Wood Buffalo,4816831 - Chipewyan 201A,
Alberta,North Zone,860 - Wood Buffalo,4816852 - Dog Head 218,
Alberta,North Zone,860 - Wood Buffalo,4816859 - Fort Mackay,
Alberta,North Zone,860 - Wood Buffalo,4816821 - Gregoire Lake 176,
Alberta,North Zone,860 - Wood Buffalo,4816822 - Gregoire Lake 176A,
Alberta,North Zone,860 - Wood Buffalo,4816817 - Janvier 194,
Alberta,North Zone,860 - Wood Buffalo,4816849 - Old Fort 217,
Alberta,North Zone,860 - Wood Buffalo,4816861 - Thabacha Náre 196A,
Alberta,North Zone,860 - Wood Buffalo,4816037 - Wood Buffalo,
,,,,
Ontario,Oxford County Health Unit,544 - Woodstock,3532042 - Woodstock,
,,,,
Northwest Territories,Northwest Territories,995 - Yellowknife,6106023 - Yellowknife,
,,,,
Saskatchewan,Sunrise Regional Health Authority,710 - Yorkton,4709014 - Ebenezer,
Saskatchewan,Sunrise Regional Health Authority,710 - Yorkton,4709011 - Orkney No. 244,
Saskatchewan,Sunrise Regional Health Authority,710 - Yorkton,4709016 - Springside,
Saskatchewan,Sunrise Regional Health Authority,710 - Yorkton,4709012 - Yorkton,
