"CSDUID2016","HRUID2018","HR","Province"
2466023,2406,"Montreal","Quebec"
2454120,2416,"Monteregie","Quebec"
2445093,2405,"Estrie","Quebec"
2410030,2401,"Bas-Saint-Laurent","Quebec"
2404902,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2473030,2415,"Laurentides","Quebec"
2494260,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2465005,2413,"Laval","Quebec"
2490804,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2454090,2416,"Monteregie","Quebec"
2473010,2415,"Laurentides","Quebec"
2442025,2405,"Estrie","Quebec"
2490012,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2469017,2416,"Monteregie","Quebec"
2471025,2416,"Monteregie","Quebec"
2446112,2405,"Estrie","Quebec"
2414090,2401,"Bas-Saint-Laurent","Quebec"
2442110,2405,"Estrie","Quebec"
2473005,2415,"Laurentides","Quebec"
2402005,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2470052,2416,"Monteregie","Quebec"
2404037,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2418045,2412,"Chaudiere-Appalaches","Quebec"
2478010,2415,"Laurentides","Quebec"
2449058,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2495902,2409,"Cote-Nord","Quebec"
2496020,2409,"Cote-Nord","Quebec"
2478100,2415,"Laurentides","Quebec"
2417020,2412,"Chaudiere-Appalaches","Quebec"
2418050,2412,"Chaudiere-Appalaches","Quebec"
2475005,2415,"Laurentides","Quebec"
2471045,2416,"Monteregie","Quebec"
2494230,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2471040,2416,"Monteregie","Quebec"
2494245,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2471005,2416,"Monteregie","Quebec"
2444037,2405,"Estrie","Quebec"
2466072,2406,"Montreal","Quebec"
2431035,2412,"Chaudiere-Appalaches","Quebec"
2432085,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2432033,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2414070,2401,"Bas-Saint-Laurent","Quebec"
2474005,2415,"Laurentides","Quebec"
2441098,2405,"Estrie","Quebec"
2493035,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2433095,2412,"Chaudiere-Appalaches","Quebec"
2492022,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2498806,2409,"Cote-Nord","Quebec"
2493012,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2466097,2406,"Montreal","Quebec"
2466102,2406,"Montreal","Quebec"
2433017,2412,"Chaudiere-Appalaches","Quebec"
2445020,2405,"Estrie","Quebec"
2449048,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2444050,2405,"Estrie","Quebec"
2478047,2415,"Laurentides","Quebec"
2435027,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2458227,2416,"Monteregie","Quebec"
2431084,2412,"Chaudiere-Appalaches","Quebec"
2491035,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2418015,2412,"Chaudiere-Appalaches","Quebec"
2462047,2414,"Lanaudiere","Quebec"
2478102,2415,"Laurentides","Quebec"
2430110,2405,"Estrie","Quebec"
2432013,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2414902,2401,"Bas-Saint-Laurent","Quebec"
2414050,2401,"Bas-Saint-Laurent","Quebec"
2469005,2416,"Monteregie","Quebec"
2441080,2405,"Estrie","Quebec"
2415013,2403,"Capitale-Nationale","Quebec"
2417060,2412,"Chaudiere-Appalaches","Quebec"
2449070,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2446080,2405,"Estrie","Quebec"
2417040,2412,"Chaudiere-Appalaches","Quebec"
2446078,2405,"Estrie","Quebec"
2484902,2407,"Outaouais","Quebec"
2466107,2406,"Montreal","Quebec"
2421005,2403,"Capitale-Nationale","Quebec"
2466142,2406,"Montreal","Quebec"
2456083,2416,"Monteregie","Quebec"
2435010,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2461035,2414,"Lanaudiere","Quebec"
2444015,2405,"Estrie","Quebec"
2406802,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2421010,2403,"Capitale-Nationale","Quebec"
2494210,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2482005,2407,"Outaouais","Quebec"
2434128,2403,"Capitale-Nationale","Quebec"
2406005,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2442078,2405,"Estrie","Quebec"
2442075,2405,"Estrie","Quebec"
2406060,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2496035,2409,"Cote-Nord","Quebec"
2448028,2416,"Monteregie","Quebec"
2459010,2416,"Monteregie","Quebec"
2493070,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2493075,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2466062,2406,"Montreal","Quebec"
2406055,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2475028,2415,"Laurentides","Quebec"
2422030,2403,"Capitale-Nationale","Quebec"
2494220,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2439062,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2479015,2415,"Laurentides","Quebec"
2497804,2409,"Cote-Nord","Quebec"
2496015,2409,"Cote-Nord","Quebec"
2496010,2409,"Cote-Nord","Quebec"
2497802,2409,"Cote-Nord","Quebec"
2462910,2414,"Lanaudiere","Quebec"
2479025,2415,"Laurentides","Quebec"
2454100,2416,"Monteregie","Quebec"
2456097,2416,"Monteregie","Quebec"
2479005,2415,"Laurentides","Quebec"
2479030,2415,"Laurentides","Quebec"
2434058,2403,"Capitale-Nationale","Quebec"
2434065,2403,"Capitale-Nationale","Quebec"
2413080,2401,"Bas-Saint-Laurent","Quebec"
2459020,2416,"Monteregie","Quebec"
2479037,2415,"Laurentides","Quebec"
2458033,2416,"Monteregie","Quebec"
2475045,2415,"Laurentides","Quebec"
2458007,2416,"Monteregie","Quebec"
2411050,2401,"Bas-Saint-Laurent","Quebec"
2411045,2401,"Bas-Saint-Laurent","Quebec"
2467802,2416,"Monteregie","Quebec"
2431020,2412,"Chaudiere-Appalaches","Quebec"
2462025,2414,"Lanaudiere","Quebec"
2431015,2412,"Chaudiere-Appalaches","Quebec"
2431008,2412,"Chaudiere-Appalaches","Quebec"
2432045,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2439117,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2444071,2405,"Estrie","Quebec"
2421035,2403,"Capitale-Nationale","Quebec"
2421040,2403,"Capitale-Nationale","Quebec"
2421045,2403,"Capitale-Nationale","Quebec"
2441075,2405,"Estrie","Quebec"
2462053,2414,"Lanaudiere","Quebec"
2467055,2416,"Monteregie","Quebec"
2441060,2405,"Estrie","Quebec"
2443027,2405,"Estrie","Quebec"
2464015,2414,"Lanaudiere","Quebec"
2414005,2401,"Bas-Saint-Laurent","Quebec"
2439020,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2431045,2412,"Chaudiere-Appalaches","Quebec"
2462802,2414,"Lanaudiere","Quebec"
2462020,2414,"Lanaudiere","Quebec"
2417030,2412,"Chaudiere-Appalaches","Quebec"
2478120,2415,"Laurentides","Quebec"
2491902,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2423802,2403,"Capitale-Nationale","Quebec"
2456042,2416,"Monteregie","Quebec"
2415030,2403,"Capitale-Nationale","Quebec"
2493025,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2493030,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2491050,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2477011,2415,"Laurentides","Quebec"
2464008,2414,"Lanaudiere","Quebec"
2471105,2416,"Monteregie","Quebec"
2469045,2416,"Monteregie","Quebec"
2471083,2416,"Monteregie","Quebec"
2447017,2405,"Estrie","Quebec"
2447035,2405,"Estrie","Quebec"
2405045,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2497035,2409,"Cote-Nord","Quebec"
2433030,2412,"Chaudiere-Appalaches","Quebec"
2482035,2407,"Outaouais","Quebec"
2497040,2409,"Cote-Nord","Quebec"
2433045,2412,"Chaudiere-Appalaches","Quebec"
2433035,2412,"Chaudiere-Appalaches","Quebec"
2433025,2412,"Chaudiere-Appalaches","Quebec"
2493042,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2471110,2416,"Monteregie","Quebec"
2470040,2416,"Monteregie","Quebec"
2447047,2405,"Estrie","Quebec"
2471100,2416,"Monteregie","Quebec"
2470022,2416,"Monteregie","Quebec"
2447040,2405,"Estrie","Quebec"
2442032,2405,"Estrie","Quebec"
2437067,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2471060,2416,"Monteregie","Quebec"
2471055,2416,"Monteregie","Quebec"
2471133,2416,"Monteregie","Quebec"
2471090,2416,"Monteregie","Quebec"
2447010,2405,"Estrie","Quebec"
2455023,2416,"Monteregie","Quebec"
2455030,2416,"Monteregie","Quebec"
2471070,2416,"Monteregie","Quebec"
2442040,2405,"Estrie","Quebec"
2442055,2405,"Estrie","Quebec"
2471065,2416,"Monteregie","Quebec"
2442045,2405,"Estrie","Quebec"
2469070,2416,"Monteregie","Quebec"
2471033,2416,"Monteregie","Quebec"
2471140,2416,"Monteregie","Quebec"
2441070,2405,"Estrie","Quebec"
2434007,2403,"Capitale-Nationale","Quebec"
2434017,2403,"Capitale-Nationale","Quebec"
2439077,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2412072,2401,"Bas-Saint-Laurent","Quebec"
2431130,2412,"Chaudiere-Appalaches","Quebec"
2466117,2406,"Montreal","Quebec"
2477030,2415,"Laurentides","Quebec"
2477043,2415,"Laurentides","Quebec"
2433065,2412,"Chaudiere-Appalaches","Quebec"
2423057,2403,"Capitale-Nationale","Quebec"
2431056,2412,"Chaudiere-Appalaches","Quebec"
2445055,2405,"Estrie","Quebec"
2481017,2407,"Outaouais","Quebec"
2495010,2409,"Cote-Nord","Quebec"
2463048,2414,"Lanaudiere","Quebec"
2463023,2414,"Lanaudiere","Quebec"
2466032,2406,"Montreal","Quebec"
2432050,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2463030,2414,"Lanaudiere","Quebec"
2412010,2401,"Bas-Saint-Laurent","Quebec"
2497007,2409,"Cote-Nord","Quebec"
2401023,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2479010,2415,"Laurentides","Quebec"
2471020,2416,"Monteregie","Quebec"
2430095,2405,"Estrie","Quebec"
2498010,2409,"Cote-Nord","Quebec"
2467040,2416,"Monteregie","Quebec"
2467045,2416,"Monteregie","Quebec"
2498802,2409,"Cote-Nord","Quebec"
2477022,2415,"Laurentides","Quebec"
2449080,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2498055,2409,"Cote-Nord","Quebec"
2418055,2412,"Chaudiere-Appalaches","Quebec"
2414018,2401,"Bas-Saint-Laurent","Quebec"
2479078,2415,"Laurentides","Quebec"
2412005,2401,"Bas-Saint-Laurent","Quebec"
2442005,2405,"Estrie","Quebec"
2433090,2412,"Chaudiere-Appalaches","Quebec"
2472025,2415,"Laurentides","Quebec"
2472032,2415,"Laurentides","Quebec"
2412080,2401,"Bas-Saint-Laurent","Quebec"
2412015,2401,"Bas-Saint-Laurent","Quebec"
2444023,2405,"Estrie","Quebec"
2492030,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2466127,2406,"Montreal","Quebec"
2441117,2405,"Estrie","Quebec"
2446058,2405,"Estrie","Quebec"
2433052,2412,"Chaudiere-Appalaches","Quebec"
2491020,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2491010,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2491015,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2491005,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2414085,2401,"Bas-Saint-Laurent","Quebec"
2441055,2405,"Estrie","Quebec"
2478115,2415,"Laurentides","Quebec"
2498015,2409,"Cote-Nord","Quebec"
2493005,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2463055,2414,"Lanaudiere","Quebec"
2479060,2415,"Laurentides","Quebec"
2432058,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2430005,2405,"Estrie","Quebec"
2446105,2405,"Estrie","Quebec"
2449040,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2498804,2409,"Cote-Nord","Quebec"
2453052,2416,"Monteregie","Quebec"
2480045,2407,"Outaouais","Quebec"
2451075,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2486042,2408,"Abitibi-Temiscamingue","Quebec"
2462065,2414,"Lanaudiere","Quebec"
2429073,2412,"Chaudiere-Appalaches","Quebec"
2438010,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2473015,2415,"Laurentides","Quebec"
2419025,2412,"Chaudiere-Appalaches","Quebec"
2419075,2412,"Chaudiere-Appalaches","Quebec"
2421020,2403,"Capitale-Nationale","Quebec"
2416048,2403,"Capitale-Nationale","Quebec"
2433115,2412,"Chaudiere-Appalaches","Quebec"
2483040,2407,"Outaouais","Quebec"
2482030,2407,"Outaouais","Quebec"
2455048,2416,"Monteregie","Quebec"
2445072,2405,"Estrie","Quebec"
2492055,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2499095,2417,"Nunavik","Quebec"
2499020,2410,"Nord-du-Quebec","Quebec"
2454048,2416,"Monteregie","Quebec"
2499015,2410,"Nord-du-Quebec","Quebec"
2499005,2410,"Nord-du-Quebec","Quebec"
2485037,2408,"Abitibi-Temiscamingue","Quebec"
2445085,2405,"Estrie","Quebec"
2480095,2407,"Outaouais","Quebec"
2426022,2412,"Chaudiere-Appalaches","Quebec"
2445035,2405,"Estrie","Quebec"
2445043,2405,"Estrie","Quebec"
2428030,2412,"Chaudiere-Appalaches","Quebec"
2428020,2412,"Chaudiere-Appalaches","Quebec"
2414045,2401,"Bas-Saint-Laurent","Quebec"
2419010,2412,"Chaudiere-Appalaches","Quebec"
2475040,2415,"Laurentides","Quebec"
2445030,2405,"Estrie","Quebec"
2419020,2412,"Chaudiere-Appalaches","Quebec"
2428040,2412,"Chaudiere-Appalaches","Quebec"
2461040,2414,"Lanaudiere","Quebec"
2476043,2415,"Laurentides","Quebec"
2430040,2405,"Estrie","Quebec"
2462070,2414,"Lanaudiere","Quebec"
2435005,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2417065,2412,"Chaudiere-Appalaches","Quebec"
2435050,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2437205,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2456005,2416,"Monteregie","Quebec"
2483065,2407,"Outaouais","Quebec"
2451045,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2429057,2412,"Chaudiere-Appalaches","Quebec"
2457005,2416,"Monteregie","Quebec"
2446017,2405,"Estrie","Quebec"
2451060,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2451065,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2442088,2405,"Estrie","Quebec"
2499140,2417,"Nunavik","Quebec"
2419030,2412,"Chaudiere-Appalaches","Quebec"
2451055,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2488080,2408,"Abitibi-Temiscamingue","Quebec"
2476020,2415,"Laurentides","Quebec"
2418020,2412,"Chaudiere-Appalaches","Quebec"
2449005,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2467020,2416,"Monteregie","Quebec"
2477060,2415,"Laurentides","Quebec"
2484065,2407,"Outaouais","Quebec"
2484040,2407,"Outaouais","Quebec"
2484035,2407,"Outaouais","Quebec"
2450072,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2498020,2409,"Cote-Nord","Quebec"
2492060,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2492904,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2495005,2409,"Cote-Nord","Quebec"
2433102,2412,"Chaudiere-Appalaches","Quebec"
2423072,2403,"Capitale-Nationale","Quebec"
2422035,2403,"Capitale-Nationale","Quebec"
2484005,2407,"Outaouais","Quebec"
2410060,2401,"Bas-Saint-Laurent","Quebec"
2446010,2405,"Estrie","Quebec"
2413050,2401,"Bas-Saint-Laurent","Quebec"
2413065,2401,"Bas-Saint-Laurent","Quebec"
2484055,2407,"Outaouais","Quebec"
2457057,2416,"Monteregie","Quebec"
2439170,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2451090,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2450128,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2499808,2418,"Terres-Cries-de-la-Baie-James","Quebec"
2488055,2408,"Abitibi-Temiscamingue","Quebec"
2402028,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2454035,2416,"Monteregie","Quebec"
2489008,2408,"Abitibi-Temiscamingue","Quebec"
2485907,2408,"Abitibi-Temiscamingue","Quebec"
2499100,2417,"Nunavik","Quebec"
2445008,2405,"Estrie","Quebec"
2419110,2412,"Chaudiere-Appalaches","Quebec"
2431140,2412,"Chaudiere-Appalaches","Quebec"
2484010,2407,"Outaouais","Quebec"
2461013,2414,"Lanaudiere","Quebec"
2479050,2415,"Laurentides","Quebec"
2437210,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2457020,2416,"Monteregie","Quebec"
2472802,2415,"Laurentides","Quebec"
2492045,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2445115,2405,"Estrie","Quebec"
2476065,2415,"Laurentides","Quebec"
2422025,2403,"Capitale-Nationale","Quebec"
2484060,2407,"Outaouais","Quebec"
2448050,2416,"Monteregie","Quebec"
2407047,2401,"Bas-Saint-Laurent","Quebec"
2422045,2403,"Capitale-Nationale","Quebec"
2440043,2405,"Estrie","Quebec"
2434135,2403,"Capitale-Nationale","Quebec"
2485100,2408,"Abitibi-Temiscamingue","Quebec"
2485015,2408,"Abitibi-Temiscamingue","Quebec"
2440047,2405,"Estrie","Quebec"
2472005,2415,"Laurentides","Quebec"
2441038,2405,"Estrie","Quebec"
2480037,2407,"Outaouais","Quebec"
2448038,2416,"Monteregie","Quebec"
2452040,2414,"Lanaudiere","Quebec"
2408053,2401,"Bas-Saint-Laurent","Quebec"
2499085,2417,"Nunavik","Quebec"
2498040,2409,"Cote-Nord","Quebec"
2462030,2414,"Lanaudiere","Quebec"
2437215,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2442098,2405,"Estrie","Quebec"
2483032,2407,"Outaouais","Quebec"
2406020,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2484082,2407,"Outaouais","Quebec"
2427043,2412,"Chaudiere-Appalaches","Quebec"
2457040,2416,"Monteregie","Quebec"
2456060,2416,"Monteregie","Quebec"
2454017,2416,"Monteregie","Quebec"
2451015,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2429112,2412,"Chaudiere-Appalaches","Quebec"
2406013,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2454030,2416,"Monteregie","Quebec"
2479105,2415,"Laurentides","Quebec"
2422010,2403,"Capitale-Nationale","Quebec"
2406025,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2487050,2408,"Abitibi-Temiscamingue","Quebec"
2487005,2408,"Abitibi-Temiscamingue","Quebec"
2450035,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2439010,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2439015,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2485905,2408,"Abitibi-Temiscamingue","Quebec"
2449015,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2421025,2403,"Capitale-Nationale","Quebec"
2419068,2412,"Chaudiere-Appalaches","Quebec"
2485030,2408,"Abitibi-Temiscamingue","Quebec"
2499025,2410,"Nord-du-Quebec","Quebec"
2418010,2412,"Chaudiere-Appalaches","Quebec"
2437230,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2451085,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2412057,2401,"Bas-Saint-Laurent","Quebec"
2432040,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2450005,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2492010,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2489910,2408,"Abitibi-Temiscamingue","Quebec"
2427065,2412,"Chaudiere-Appalaches","Quebec"
2403010,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2459025,2416,"Monteregie","Quebec"
2429013,2412,"Chaudiere-Appalaches","Quebec"
2441085,2405,"Estrie","Quebec"
2487058,2408,"Abitibi-Temiscamingue","Quebec"
2485050,2408,"Abitibi-Temiscamingue","Quebec"
2470012,2416,"Monteregie","Quebec"
2495050,2409,"Cote-Nord","Quebec"
2473020,2415,"Laurentides","Quebec"
2442020,2405,"Estrie","Quebec"
2449105,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2432072,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2402010,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2493908,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2422020,2403,"Capitale-Nationale","Quebec"
2422040,2403,"Capitale-Nationale","Quebec"
2462085,2414,"Lanaudiere","Quebec"
2478075,2415,"Laurentides","Quebec"
2478015,2415,"Laurentides","Quebec"
2432065,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2440017,2405,"Estrie","Quebec"
2410902,2401,"Bas-Saint-Laurent","Quebec"
2483015,2407,"Outaouais","Quebec"
2410070,2401,"Bas-Saint-Laurent","Quebec"
2493055,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2439145,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2450050,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2483908,2407,"Outaouais","Quebec"
2483090,2407,"Outaouais","Quebec"
2444055,2405,"Estrie","Quebec"
2439025,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2493045,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2467015,2416,"Monteregie","Quebec"
2494235,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2467030,2416,"Monteregie","Quebec"
2412043,2401,"Bas-Saint-Laurent","Quebec"
2480135,2407,"Outaouais","Quebec"
2430055,2405,"Estrie","Quebec"
2468005,2416,"Monteregie","Quebec"
2468030,2416,"Monteregie","Quebec"
2449030,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2492040,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2430080,2405,"Estrie","Quebec"
2445050,2405,"Estrie","Quebec"
2478055,2415,"Laurentides","Quebec"
2468035,2416,"Monteregie","Quebec"
2430030,2405,"Estrie","Quebec"
2417035,2412,"Chaudiere-Appalaches","Quebec"
2461025,2414,"Lanaudiere","Quebec"
2461045,2414,"Lanaudiere","Quebec"
2402047,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2470005,2416,"Monteregie","Quebec"
2444010,2405,"Estrie","Quebec"
2444005,2405,"Estrie","Quebec"
2413095,2401,"Bas-Saint-Laurent","Quebec"
2416013,2403,"Capitale-Nationale","Quebec"
2420005,2403,"Capitale-Nationale","Quebec"
2420015,2403,"Capitale-Nationale","Quebec"
2466007,2406,"Montreal","Quebec"
2479922,2415,"Laurentides","Quebec"
2495802,2409,"Cote-Nord","Quebec"
2478060,2415,"Laurentides","Quebec"
2405050,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2426070,2412,"Chaudiere-Appalaches","Quebec"
2405070,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2468045,2416,"Monteregie","Quebec"
2434060,2403,"Capitale-Nationale","Quebec"
2405060,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2411035,2401,"Bas-Saint-Laurent","Quebec"
2411005,2401,"Bas-Saint-Laurent","Quebec"
2405055,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2493020,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2462080,2414,"Lanaudiere","Quebec"
2496005,2409,"Cote-Nord","Quebec"
2497806,2409,"Cote-Nord","Quebec"
2467005,2416,"Monteregie","Quebec"
2439150,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2466058,2406,"Montreal","Quebec"
2493065,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2410025,2401,"Bas-Saint-Laurent","Quebec"
2458037,2416,"Monteregie","Quebec"
2439130,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2407910,2401,"Bas-Saint-Laurent","Quebec"
2413005,2401,"Bas-Saint-Laurent","Quebec"
2467010,2416,"Monteregie","Quebec"
2408005,2401,"Bas-Saint-Laurent","Quebec"
2497022,2409,"Cote-Nord","Quebec"
2494930,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2463065,2414,"Lanaudiere","Quebec"
2460040,2414,"Lanaudiere","Quebec"
2439060,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2485080,2408,"Abitibi-Temiscamingue","Quebec"
2430035,2405,"Estrie","Quebec"
2499810,2418,"Terres-Cries-de-la-Baie-James","Quebec"
2429045,2412,"Chaudiere-Appalaches","Quebec"
2462007,2414,"Lanaudiere","Quebec"
2430025,2405,"Estrie","Quebec"
2430045,2405,"Estrie","Quebec"
2431040,2412,"Chaudiere-Appalaches","Quebec"
2410015,2401,"Bas-Saint-Laurent","Quebec"
2427035,2412,"Chaudiere-Appalaches","Quebec"
2439030,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2415035,2403,"Capitale-Nationale","Quebec"
2442070,2405,"Estrie","Quebec"
2415058,2403,"Capitale-Nationale","Quebec"
2414065,2401,"Bas-Saint-Laurent","Quebec"
2418030,2412,"Chaudiere-Appalaches","Quebec"
2431135,2412,"Chaudiere-Appalaches","Quebec"
2427060,2412,"Chaudiere-Appalaches","Quebec"
2431095,2412,"Chaudiere-Appalaches","Quebec"
2431105,2412,"Chaudiere-Appalaches","Quebec"
2434048,2403,"Capitale-Nationale","Quebec"
2418065,2412,"Chaudiere-Appalaches","Quebec"
2417055,2412,"Chaudiere-Appalaches","Quebec"
2487115,2408,"Abitibi-Temiscamingue","Quebec"
2499814,2418,"Terres-Cries-de-la-Baie-James","Quebec"
2499110,2417,"Nunavik","Quebec"
2426030,2412,"Chaudiere-Appalaches","Quebec"
2419105,2412,"Chaudiere-Appalaches","Quebec"
2427008,2412,"Chaudiere-Appalaches","Quebec"
2426048,2412,"Chaudiere-Appalaches","Quebec"
2426055,2412,"Chaudiere-Appalaches","Quebec"
2482015,2407,"Outaouais","Quebec"
2494215,2402,"Saguenay-Lac-Saint-Jean","Quebec"
2476008,2415,"Laurentides","Quebec"
2434025,2403,"Capitale-Nationale","Quebec"
2427028,2412,"Chaudiere-Appalaches","Quebec"
2413020,2401,"Bas-Saint-Laurent","Quebec"
2432023,2404,"Mauricie et du Centre-du-Quebec","Quebec"
2446050,2405,"Estrie","Quebec"
2430085,2405,"Estrie","Quebec"
2442050,2405,"Estrie","Quebec"
2431060,2412,"Chaudiere-Appalaches","Quebec"
2446075,2405,"Estrie","Quebec"
2461050,2414,"Lanaudiere","Quebec"
2477065,2415,"Laurentides","Quebec"
2453005,2416,"Monteregie","Quebec"
2429120,2412,"Chaudiere-Appalaches","Quebec"
2404020,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2417070,2412,"Chaudiere-Appalaches","Quebec"
2417045,2412,"Chaudiere-Appalaches","Quebec"
2412020,2401,"Bas-Saint-Laurent","Quebec"
2407070,2401,"Bas-Saint-Laurent","Quebec"
2414035,2401,"Bas-Saint-Laurent","Quebec"
2499060,2410,"Nord-du-Quebec","Quebec"
2414075,2401,"Bas-Saint-Laurent","Quebec"
2404015,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2413040,2401,"Bas-Saint-Laurent","Quebec"
2419037,2412,"Chaudiere-Appalaches","Quebec"
2404047,2411,"Gaspesie-Iles-de-la-Madeleine","Quebec"
2466047,2406,"Montreal","Quebec"
2472020,2415,"Laurentides","Quebec"
